Year,Site,Plot,Subplot,Species_name,Number,DPM_Height,Fencing,Treatment,
2024,A,2,Z1,Aristida adscensionis,2,18.9,Fenced,F,
2024,A,2,Z1,Cymbopogon caesius,1,21.1,Fenced,F,
2024,A,2,Z1,Loudetia simplex,1,22.4,Fenced,F,
2024,A,2,Z1,Cymbopogon pospischilii,1,NA,Fenced,F,
2024,A,2,Z1,Bothriochloa insculpta,3,29.3,Fenced,F,
2024,A,2,Z1,Urochloa trichopus,11,32.5,Fenced,F,
2024,A,2,Z1,Eragrostis gummiflua,1,32.4,Fenced,F,
2024,A,2,Z1,NA,NA,31.1,Fenced,F,
2024,A,2,Z1,Loudetia simplex,1,14.6,Fenced,F,
2024,A,2,Z1,Bothriochloa insculpta,3,14.2,Fenced,F,
2024,A,2,Z1,Eragrostis gummiflua,2,15.3,Fenced,F,
2024,A,2,Z1,Hyparrhenia filipendula,1,16.7,Fenced,F,
2024,A,2,Z1,Bothriochloa insculpta,10,20.2,Fenced,F,
2024,A,2,Z1,Hyparrhenia filipendula,1,22.4,Fenced,F,
2024,A,2,Z1,Setaria pumila,1,23.3,Fenced,F,
2024,A,2,Z1,NA,NA,21.5,Fenced,F,
2024,A,2,Z2,Heteropogon contortus,1,17.6,Fenced,F,
2024,A,2,Z2,Bothriochloa insculpta,2,18.6,Fenced,F,
2024,A,2,Z2,Loudetia simplex,2,17.2,Fenced,F,
2024,A,2,Z2,Eragrostis gummiflua,1,19.4,Fenced,F,
2024,A,2,Z2,Hyparrhenia filipendula,4,NA,Fenced,F,
2024,A,2,Z2,Hyparrhenia filipendula,4,41.4,Fenced,F,
2024,A,2,Z2,NA,NA,41.4,Fenced,F,
2024,A,2,Z2,NA,NA,33.5,Fenced,F,
2024,A,2,Z2,NA,NA,25.5,Fenced,F,
2024,A,2,Z2,Heteropogon contortus,1,23.3,Fenced,F,
2024,A,2,Z2,Hyparrhenia filipendula,6,18.8,Fenced,F,
2024,A,2,Z2,Urochloa trichopus,2,23.7,Fenced,F,
2024,A,2,Z2,NA,NA,27.4,Fenced,F,
2024,A,2,Z2,Heteropogon contortus,4,14.1,Fenced,F,
2024,A,2,Z2,Hyparrhenia filipendula,3,20.5,Fenced,F,
2024,A,2,Z2,NA,NA,15.5,Fenced,F,
2024,A,2,Z2,NA,NA,13.9,Fenced,F,
2024,A,2,Z2,Hyparrhenia filipendula,4,11.8,Fenced,F,
2024,A,2,Z2,Urochloa trichopus,3,17.9,Fenced,F,
2024,A,2,Z2,NA,NA,23.4,Fenced,F,
2024,A,2,Z2,NA,NA,22.1,Fenced,F,
2024,A,2,Z3,Bothriochloa insculpta,9,21.1,Unfenced,F,
2024,A,2,Z3,Eragrostis gummiflua,2,22.1,Unfenced,F,
2024,A,2,Z3,Hyparrhenia filipendula,3,23.6,Unfenced,F,
2024,A,2,Z3,NA,NA,22.3,Unfenced,F,
2024,A,2,Z3,Heteropogon contortus,1,13.7,Unfenced,F,
2024,A,2,Z3,Bothriochloa insculpta,20,10.5,Unfenced,F,
2024,A,2,Z3,NA,NA,10.3,Unfenced,F,
2024,A,2,Z3,NA,NA,10.7,Unfenced,F,
2024,A,2,Z3,Bothriochloa insculpta,3,29.3,Unfenced,F,
2024,A,2,Z3,Eragrostis gummiflua,1,32.5,Unfenced,F,
2024,A,2,Z3,Urochloa trichopus,11,32.4,Unfenced,F,
2024,A,2,Z3,NA,NA,31.1,Unfenced,F,
2024,A,2,Z3,Bothriochloa insculpta,10,23.4,Unfenced,F,
2024,A,2,Z3,Urochloa trichopus,2,23.8,Unfenced,F,
2024,A,2,Z3,Heteropogon contortus,2,22.7,Unfenced,F,
2024,A,2,Z3,NA,NA,23.7,Unfenced,F,
2024,A,2,Z3,Eragrostis gummiflua,1,10.2,Unfenced,F,
2024,A,2,Z3,Bothriochloa insculpta,15,13.9,Unfenced,F,
2024,A,2,Z3,Cymbopogon caesius,2,11,Unfenced,F,
2024,A,2,Z3,Eragrostis superba,2,10.9,Unfenced,F,
2024,A,2,Z4,Aristida adscensionis,2,12.5,Unfenced,F,
2024,A,2,Z4,Hyparrhenia filipendula,8,12.3,Unfenced,F,
2024,A,2,Z4,Setaria pumila,5,17,Unfenced,F,
2024,A,2,Z4,NA,NA,16.3,Unfenced,F,
2024,A,2,Z4,Hyparrhenia filipendula,5,17.2,Unfenced,F,
2024,A,2,Z4,Urochloa trichopus,4,9.6,Unfenced,F,
2024,A,2,Z4,NA,NA,27.7,Unfenced,F,
2024,A,2,Z4,NA,NA,34.9,Unfenced,F,
2024,A,2,Z4,Heteropogon contortus,3,13.1,Unfenced,F,
2024,A,2,Z4,Cymbopogon caesius,1,16.9,Unfenced,F,
2024,A,2,Z4,Urochloa trichopus,1,18.2,Unfenced,F,
2024,A,2,Z4,Hyparrhenia filipendula,1,21.2,Unfenced,F,
2024,A,2,Z4,Urochloa trichopus,4,39.1,Unfenced,F,
2024,A,2,Z4,Hyparrhenia filipendula,5,43,Unfenced,F,
2024,A,2,Z4,NA,NA,34.6,Unfenced,F,
2024,A,2,Z4,NA,NA,30.8,Unfenced,F,
2024,A,2,Z4,Urochloa trichopus,3,29,Unfenced,F,
2024,A,2,Z4,Hyparrhenia filipendula,5,31.6,Unfenced,F,
2024,A,2,Z4,NA,NA,32.6,Unfenced,F,
2024,A,2,Z4,NA,NA,33.3,Unfenced,F,
2024,A,3,Z1,Aristida diffusa,2,38,Fenced,TFB,
2024,A,3,Z1,Aristida congesta c,1,29.8,Fenced,TFB,
2024,A,3,Z1,Melinis repens,2,22,Fenced,TFB,
2024,A,3,Z1,Urochloa trichopus,5,23.9,Fenced,TFB,
2024,A,3,Z1,Hyparrhenia filipendula,4,11.8,Fenced,TFB,
2024,A,3,Z1,NA,NA,17.1,Fenced,TFB,
2024,A,3,Z1,NA,NA,15.3,Fenced,TFB,
2024,A,3,Z1,NA,NA,15.7,Fenced,TFB,
2024,A,3,Z1,Bothriochloa insculpta,3,15.4,Fenced,TFB,
2024,A,3,Z1,Urochloa trichopus,3,16.8,Fenced,TFB,
2024,A,3,Z1,Cymbopogon caesius,1,16.7,Fenced,TFB,
2024,A,3,Z1,NA,NA,16.7,Fenced,TFB,
2024,A,3,Z1,Hyparrhenia filipendula,1,21.9,Fenced,TFB,
2024,A,3,Z1,Bothriochloa insculpta,10,21.8,Fenced,TFB,
2024,A,3,Z1,Urochloa trichopus,2,20.9,Fenced,TFB,
2024,A,3,Z1,NA,NA,18.4,Fenced,TFB,
2024,A,3,Z1,Urochloa trichopus,1,17.6,Fenced,TFB,
2024,A,3,Z1,Hyparrhenia filipendula,2,15.9,Fenced,TFB,
2024,A,3,Z1,Heteropogon contortus,8,15.3,Fenced,TFB,
2024,A,3,Z1,Aristida adscensionis,4,15.4,Fenced,TFB,
2024,A,3,Z2,Urochloa trichopus,2,31.7,Unfenced,TFB,
2024,A,3,Z2,Loudetia simplex,1,31.7,Unfenced,TFB,
2024,A,3,Z2,Bothriochloa insculpta,3,28.7,Unfenced,TFB,
2024,A,3,Z2,NA,NA,25.3,Unfenced,TFB,
2024,A,3,Z2,Bothriochloa insculpta,6,3.6,Unfenced,TFB,
2024,A,3,Z2,Cymbopogon caesius,1,11.2,Unfenced,TFB,
2024,A,3,Z2,Aristida adscensionis,10,12.5,Unfenced,TFB,
2024,A,3,Z2,NA,NA,12.7,Unfenced,TFB,
2024,A,3,Z2,Bothriochloa insculpta,1,51.3,Unfenced,TFB,
2024,A,3,Z2,Hyparrhenia hirta,3,36,Unfenced,TFB,
2024,A,3,Z2,NA,NA,43.7,Unfenced,TFB,
2024,A,3,Z2,NA,NA,46.1,Unfenced,TFB,
2024,A,3,Z2,Bothriochloa insculpta,3,5.9,Unfenced,TFB,
2024,A,3,Z2,Hyparrhenia hirta,1,8.7,Unfenced,TFB,
2024,A,3,Z2,Digitaria eriantha,17,12.6,Unfenced,TFB,
2024,A,3,Z2,Eragrostis gummiflua,1,12.7,Unfenced,TFB,
2024,A,3,Z2,Urochloa trichopus,1,11.8,Unfenced,TFB,
2024,A,3,Z2,Bothriochloa insculpta,6,15.7,Unfenced,TFB,
2024,A,3,Z2,Eragrostis gummiflua,2,18.6,Unfenced,TFB,
2024,A,3,Z2,NA,NA,20.6,Unfenced,TFB,
2024,A,3,Z3,Heteropogon contortus,5,10.7,Fenced,TFB,
2024,A,3,Z3,Aristida adscensionis,2,16.9,Fenced,TFB,
2024,A,3,Z3,Melinis repens,6,13.6,Fenced,TFB,
2024,A,3,Z3,Eragrostis cylindriflora,3,13.5,Fenced,TFB,
2024,A,3,Z3,Cynodon dactylon,3,31.8,Fenced,TFB,
2024,A,3,Z3,Urochloa trichopus,1,29,Fenced,TFB,
2024,A,3,Z3,Setaria pumila,1,26.4,Fenced,TFB,
2024,A,3,Z3,NA,NA,25.9,Fenced,TFB,
2024,A,3,Z3,Heteropogon contortus,5,26.8,Fenced,TFB,
2024,A,3,Z3,Aristida adscensionis,2,19.2,Fenced,TFB,
2024,A,3,Z3,Urochloa trichopus,1,17.8,Fenced,TFB,
2024,A,3,Z3,Cymbopogon caesius,2,16.9,Fenced,TFB,
2024,A,3,Z3,Digitaria eriantha,2,NA,Fenced,TFB,
2024,A,3,Z3,Aristida adscensionis,3,6.8,Fenced,TFB,
2024,A,3,Z3,Urochloa trichopus,1,11.5,Fenced,TFB,
