,Site,Plot,Albizia harveyi,Albizia versicolor,Allophylus africanus,Azanza garckeana,Berchemia zeyheri,Bolusanthus speciosus,Boscia angustifolia,Boscia mossambicensis,Brachystegia spiciformis,Burkea africana,Canthium inerme,Carissa bispinosa,Carissa edulis,Carissa spinarum,Cassia abbreviata,Clerodendrum glabrum,Colophospermum mopane,Combretum apiculatum,Combretum hereroense,Combretum imberbe,Combretum molle,Combretum mossambicense,Combretum zeyheri,Commiphora africana,Dalbergia melanoxylon,Dalbergia nitidula,Dichrostachys cinerea,Diospyros lycioides,Diplorhynchus condylocarpon,Dombeya rotundifolia,Dovyalis caffra,Elaeodendron papillosum,Euclea divinorum,Flacourtia indica,Fluegga virosa,Gardenia spathulifolia,Gardenia volkensii,Grewia bicolor,Grewia decomovulata,Grewia flavescens,Grewia monticola,Gymnosporia buxifolia,Gymnosporia senegalensis,Indigofera ormocarpoides,Kirkia acuminata,Lannea discolor,Lannea schweinfurthii,Lippia javanica,Maclura africana,Nuxia oppositifolia,Ochna serrulata,Ormocarpum trichocarpum,Ozoroa insignis,Pappea capensis,Peltophorum africanum,Philenoptera violacea,Piliostigma thonningii,Pseudolachnostylis maprouneifolia,Pterocarpus rotundifolius,Rhus lancea,Rhus leptodictya,Sclerocarya birrea,Senegalia ataxacantha,Senegalia nigrescens,Senegalia rehmanniana,Steganotaenia araliacea,Tarchonanthus camphoratus,Terminalia prunioides,Terminalia sericea,Vachellia gerrardii,Vachellia karroo,Vachellia nilotica,Vangueria randii,Viscum combreticola,Vitex mombasa,Volkameria eriophylla,Warburgia salutaris,Ximenia caffra,Zanthoxylum capense,Ziziphus mucronata
15,C,5,5,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36,17,0,0,0,6,3,0,0,316,2,0,0,0,0,16,0,5,0,0,1,18,0,33,0,5,0,0,0,0,1,0,0,0,0,5,0,7,0,0,0,0,0,1,5,0,0,0,0,0,0,16,0,11,62,0,0,0,0,0,0,0,54
16,D,1,0,0,26,2,0,0,0,0,0,0,0,7,1,0,0,3,1,23,16,0,0,0,0,6,0,0,181,11,0,0,0,0,68,0,44,3,0,0,25,0,10,0,6,0,0,0,1,1,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,70,0,0,0,0,6,0,5,23
17,D,2,3,0,22,1,1,0,2,0,0,0,0,4,0,0,2,1,0,6,7,0,0,0,0,2,0,0,204,1,0,0,0,0,105,0,71,2,1,0,40,0,6,0,4,0,0,0,1,0,5,0,0,0,0,0,4,0,0,0,0,0,0,1,0,5,0,1,0,1,0,22,0,91,1,0,0,0,1,0,1,19
18,D,3,1,0,20,0,0,0,0,0,0,1,0,8,0,0,3,2,2,48,19,0,0,0,0,3,1,0,165,3,0,0,0,1,69,0,52,11,0,0,37,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,95,1,0,0,0,8,0,0,41
19,D,4,0,0,37,0,0,5,1,0,46,0,0,7,1,0,1,3,6,52,20,0,0,0,0,1,0,0,156,4,0,0,0,0,77,0,19,8,0,0,21,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,47,0,0,0,0,1,1,0,11
20,D,5,0,0,45,0,1,2,1,1,0,0,0,2,1,0,1,1,21,37,24,3,0,0,0,2,0,0,172,3,0,0,0,0,99,0,29,10,0,0,29,0,3,1,15,0,0,0,3,0,5,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,24,0,12,0,0,0,0,1,0,0,22
21,E,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,9,0,0,8,1,0,0,0,196,0,0,0,0,0,25,0,48,0,0,0,8,0,1,0,12,0,0,0,0,0,1,0,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,1,7,9,12,0,4,0,0,0,0,0,0,0,11
22,E,2,0,0,12,0,0,0,2,0,0,0,0,1,0,0,0,0,0,150,1,0,0,30,0,0,0,0,206,3,0,2,0,0,88,0,69,0,0,0,5,0,2,0,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,34,0,0,0,0,0,0,0,2
23,E,3,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,104,7,0,0,0,1,0,0,1,186,0,0,2,0,0,54,18,31,1,0,0,14,0,4,0,23,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,0,17,0,0,0,0,0,0,0,13
24,E,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,2,0,0,0,3,1,0,0,215,0,0,0,0,0,66,4,35,3,0,0,20,0,8,0,9,0,0,0,0,0,3,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,14,1,0,14,0,13,0,0,0,0,0,0,2,10
25,E,5,3,0,12,0,1,0,3,0,0,0,0,1,0,0,0,0,0,280,40,0,1,0,0,0,0,0,205,1,0,0,0,0,57,4,59,1,0,0,4,0,4,0,9,0,0,0,0,0,0,0,0,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,14,23,3,44,0,0,0,0,0,1,0,20
26,F,1,1,0,5,0,0,2,0,0,0,0,0,1,0,0,0,0,7,49,39,16,43,0,3,5,9,0,46,0,0,0,0,0,19,0,1,2,0,0,5,1,8,0,1,0,7,1,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,3,38,4,1,67,0,0,0,0,0,0,0,13
27,F,2,3,0,10,13,0,1,0,0,8,0,0,0,0,0,1,0,6,33,0,0,0,0,10,1,0,0,101,0,0,0,0,0,13,0,0,0,0,0,5,1,5,0,0,0,0,6,1,0,3,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,5,0,103,0,2,0,0,0,0,0,3
28,F,3,4,1,0,1,0,0,0,0,24,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,148,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,316,0,0,1,0,0,0,0,1
29,F,4,0,0,7,4,0,0,0,0,8,0,0,0,0,0,3,0,0,1,0,0,0,0,1,1,0,0,131,0,0,0,3,0,12,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,1,286,0,0,0,0,0,0,0,4
30,F,5,5,1,1,0,0,0,0,0,2,5,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,104,0,0,0,1,0,1,0,0,0,0,0,19,2,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,13,0,26,98,0,0,0,0,0,0,0,2
