spec.name,spec.name.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason
Bothriochloa insculpta,Bothriochloa insculpta,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,11,1,wfo-0000853792,urn:lsid:ipni.org:names:392721-1,399328,Bothriochloa insculpta,species,wfo-4000005074,(Hochst. ex A.Rich.) A.Camus,Poaceae,,,,Bothriochloa,,insculpta,,species,Valid,"Ann. Soc. Linn. Lyon , n.s., 76: 165 (1931)",Accepted,,wfo-0001095790,NA,"Source in seed data: wcs Update namepublishedIn from Ann. Soc. Linn. Lyon n.s., 76: 165 1931 to Ann. Soc. Linn. Lyon , n.s., 76: 165 (1931), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantl",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:392721-1,The Poaceae TEN,A,kew-399328,,FALSE,,,,
Eragrostis gummiflua,Eragrostis gummiflua,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,12,1,wfo-0000867806,urn:lsid:ipni.org:names:401130-1,412612,Eragrostis gummiflua,species,wfo-4000013668,Nees,Poaceae,,,,Eragrostis,,gummiflua,,species,Valid,Fl. Afr. Austral. Ill. : 393 (1841),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Fl. Afr. Austral. Ill. 393. 1841 to Fl. Afr. Austral. Ill. : 393 (1841), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:401130-1,The Poaceae TEN,A,kew-412612,,FALSE,,,,
Pogonarthria squarrosa,Pogonarthria squarrosa,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,13,1,wfo-0000894422,urn:lsid:ipni.org:names:1080583-2,437821,Pogonarthria squarrosa,species,wfo-4000030567,(Licht.) Pilg.,Poaceae,,,,Pogonarthria,,squarrosa,,species,Valid,Notizbl. Königl. Bot. Gart. Berlin 5: 149 (1910),Accepted,,wfo-0000893899,NA,"Source in seed data: wcs Update namepublishedIn from Notizbl. Königl. Bot. Gart. Berlin 5: 149 1910 to Notizbl. Königl. Bot. Gart. Berlin 5: 149 (1910), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http:/",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1080583-2,The Poaceae TEN,A,kew-437821,,FALSE,,,,
Panicum maximum,Panicum maximum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,14,1,wfo-0000878966,urn:lsid:ipni.org:names:60426565-2,423373,Megathyrsus maximus,species,wfo-4000023517,(Jacq.) B.K.Simon & S.W.L.Jacobs,Poaceae,,,,Megathyrsus,,maximus,,species,Valid,Austrobaileya 6: 572 (2003),Accepted,,wfo-0000885123,NA,"Source in seed data: wcs Update namepublishedIn from Austrobaileya 6: 572 2003 to Austrobaileya 6: 572 (2003), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-4233",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60426565-2,The Poaceae TEN,A,kew-423373,,TRUE,Synonym,wfo-0000885123,Panicum maximum,
Aristida diffusa,Aristida diffusa,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,15,1,wfo-0000848732,urn:lsid:ipni.org:names:389370-1,394567,Aristida diffusa,species,wfo-4000003057,Trin.,Poaceae,,,,Aristida,,diffusa,,species,Valid,Bull. Sci. Acad. Imp. Sci. Saint-Pétersbourg 1: 68 (1830),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Bull. Sc. Acad. Petersb. i. (1836) 68. to Bull. Sci. Acad. Imp. Sci. Saint-Pétersbourg 1: 68 (1830), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http:/",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389370-1,The Poaceae TEN,A,kew-394567,,FALSE,,,,
Hyparrhenia hirta,Hyparrhenia hirta,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,16,1,wfo-0000875263,urn:lsid:ipni.org:names:405537-1,419771,Hyparrhenia hirta,species,wfo-4000018737,(L.) Stapf,Poaceae,,,,Hyparrhenia,,hirta,,species,Valid,Fl. Trop. Afr. 9: 315 (1919),Accepted,,wfo-0000846755,NA,"Source in seed data: wcs Updated scientificnameAuthorship from (L.) Stapf to Stapf, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-419771 >The Plant List v.1.1.</",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:405537-1,The Poaceae TEN,A,kew-419771,,FALSE,,,,
Andropogon eucomus,Andropogon eucomus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,17,1,wfo-0000846524,urn:lsid:ipni.org:names:387840-1,392361,Andropogon eucomus,species,wfo-4000002006,Nees,Poaceae,,,,Andropogon,,eucomus,,species,Valid,Fl. Afr. Austral. Ill. : 104 (1841),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Fl. Afr. Austral. Ill. 104. 1841 to Fl. Afr. Austral. Ill. : 104 (1841), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:387840-1,The Poaceae TEN,A,kew-392361,,FALSE,,,,
Loudetia simplex,Loudetia simplex,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,18,1,wfo-0000878679,urn:lsid:ipni.org:names:407627-1,423080,Loudetia simplex,species,wfo-4000022304,(Nees) C.E.Hubb.,Poaceae,,,,Loudetia,,simplex,,species,Valid,Bull. Misc. Inform. Kew 1934: 431 (1934),Accepted,,wfo-0000905615,NA,"Source in seed data: wcs Update namepublishedIn from Bull. Misc. Inform. Kew 1934(10): 431. [31 Dec 1934] to Bull. Misc. Inform. Kew 1934: 431 (1934), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:407627-1,The Poaceae TEN,A,kew-423080,,FALSE,,,,
Cymbopogon plurinodis,Cymbopogon plurinodis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,19,1,wfo-0000861082,urn:lsid:ipni.org:names:396991-1,406252,Cymbopogon pospischilii,species,wfo-4000010376,(K.Schum.) C.E.Hubb.,Poaceae,,,,Cymbopogon,,pospischilii,,species,Valid,Kew Bull. 4: 175 (1949),Accepted,,wfo-0000847279,NA,"Source in seed data: wcs Update namepublishedIn from Kew Bull. 4(2): 175. 1949 [24 Aug 1949] to Kew Bull. 4: 175 (1949), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/recor",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:396991-1,The Poaceae TEN,A,kew-406252,,TRUE,Synonym,wfo-0000861080,Cymbopogon plurinodis,
Setaria pumila,Setaria pumila,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,20,1,wfo-0000899491,urn:lsid:ipni.org:names:421764-1,442645,Setaria pumila,species,wfo-4000035199,(Poir.) Roem. & Schult.,Poaceae,,,,Setaria,,pumila,,species,Valid,"Syst. Veg., ed. 15[bis]. 2: 891 (1817)",Accepted,,wfo-0000885960,NA,"Source in seed data: wcs Updated scientificnameAuthorship from (Poir.) Roem. & Schult. to Roem. & Schult., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-442645 >",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:421764-1,The Poaceae TEN,A,kew-442645,,FALSE,,,,
