Species_name,spec.name,scientificName,taxonomicStatus,New.accepted,scientificNameAuthorship,genus,taxonRank,family,taxonID,references,source
Aristida congesta b,Aristida congesta,Aristida congesta,Accepted,FALSE,Roem. & Schult.,Aristida,species,Poaceae,wfo-0000848682,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389336-1,The Poaceae TEN
Cymbopogon plurinodis,Cymbopogon plurinodis,Cymbopogon pospischilii,Accepted,TRUE,(K.Schum.) C.E.Hubb.,Cymbopogon,species,Poaceae,wfo-0000861082,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:396991-1,The Poaceae TEN
Sporobolus africanus,Sporobolus africanus,Sporobolus africanus,Accepted,FALSE,(Poir.) Robyns & Tournay,Sporobolus,species,Poaceae,wfo-0000900931,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:422594-1,The Poaceae TEN
Brachiaria brizantha,Brachiaria brizantha,Urochloa brizantha,Accepted,TRUE,(A.Rich.) R.D.Webster,Urochloa,species,Poaceae,wfo-0000906798,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:943736-1,The Poaceae TEN
Eragrostis viscosa,Eragrostis viscosa,Eragrostis viscosa,Accepted,FALSE,(Retz.) Trin.,Eragrostis,species,Poaceae,wfo-0000868625,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:401703-1,The Poaceae TEN
Chloris virgata,Chloris virgata,Chloris virgata,Accepted,FALSE,Sw.,Chloris,species,Poaceae,wfo-0000859723,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:396063-1,The Poaceae TEN
Perotis patens,Perotis patens,Perotis patens,Accepted,FALSE,Gand.,Perotis,species,Poaceae,wfo-0000889518,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:415507-1,The Poaceae TEN
Diheteropogon amplectens,Diheteropogon amplectens,Diheteropogon amplectens,Accepted,FALSE,(Nees) Clayton,Diheteropogon,species,Poaceae,wfo-0000864548,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:399246-1,The Poaceae TEN
Brachiaria nigropedata,Brachiaria nigropedata,Urochloa nigropedata,Accepted,TRUE,(Munro ex Ficalho & Hiern) A.M.Torres & C.M.Morton,Urochloa,species,Poaceae,wfo-0000906865,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60457348-2,The Poaceae TEN
Sporobolus ioclados,Sporobolus ioclados,Sporobolus ioclados,Accepted,FALSE,(Nees ex Trin.) Nees,Sporobolus,species,Poaceae,wfo-0000901229,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:422774-1,The Poaceae TEN
Enteropogon macrostachyus,Enteropogon macrostachyus,Enteropogon macrostachyus,Accepted,FALSE,(Hochst. ex A.Rich.) Munro ex Benth.,Enteropogon,species,Poaceae,wfo-0000867188,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:400675-1,The Poaceae TEN
Eragrostis cylindriflora,Eragrostis cylindriflora,Eragrostis cylindriflora,Accepted,FALSE,Hochst.,Eragrostis,species,Poaceae,wfo-0000867626,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:400993-1,The Poaceae TEN
Urochloa panicoides,Urochloa panicoides,Urochloa panicoides,Accepted,FALSE,P.Beauv.,Urochloa,species,Poaceae,wfo-0000906872,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:426270-1,The Poaceae TEN
Eragrostis curvula,Eragrostis curvula,Eragrostis curvula,Accepted,FALSE,(Schrad.) Nees,Eragrostis,species,Poaceae,wfo-0000867617,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1169955-2,The Poaceae TEN
Perotis patens,Perotis patens,Perotis patens,Accepted,FALSE,Gand.,Perotis,species,Poaceae,wfo-0000889518,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:415507-1,The Poaceae TEN
Digitaria velutina,Digitaria velutina,Digitaria velutina,Accepted,FALSE,(Forssk.) P.Beauv.,Digitaria,species,Poaceae,wfo-0000864504,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:399215-1,The Poaceae TEN
Hyperthelia dissoluta,Hyperthelia dissoluta,Hyperthelia dissoluta,Accepted,FALSE,(Nees ex Steud.) Clayton,Hyperthelia,species,Poaceae,wfo-0000875363,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:126405-2,The Poaceae TEN
Miscanthus junceus,Miscanthus junceus,Miscanthidium junceum,Accepted,TRUE,(Stapf) Stapf,Miscanthidium,species,Poaceae,wfo-0000880224,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:408718-1,The Poaceae TEN
Sorghum bicolor,Sorghum bicolor,Sorghum bicolor,Accepted,FALSE,(L.) Moench,Sorghum,species,Poaceae,wfo-0000900184,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:422090-1,The Poaceae TEN
Hperthelia dissoluta,Hperthelia dissoluta,Hyperthelia dissoluta,Accepted,FALSE,(Nees ex Steud.) Clayton,Hyperthelia,species,Poaceae,wfo-0000875363,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:126405-2,The Poaceae TEN
Cymbopogon nardus,Cymbopogon nardus,Cymbopogon nardus,Accepted,FALSE,(L.) Rendle,Cymbopogon,species,Poaceae,wfo-0000861056,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:396972-1,The Poaceae TEN
Tragus berteronianus,Tragus berteronianus,Tragus berteronianus,Accepted,FALSE,Schult.,Tragus,species,Poaceae,wfo-0000903944,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:256481-2,The Poaceae TEN
Dactyloctenium aegyptium,Dactyloctenium aegyptium,Dactyloctenium aegyptium,Accepted,FALSE,(L.) Willd.,Dactyloctenium,species,Poaceae,wfo-0000861704,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397387-1,The Poaceae TEN
Eragrostis cylindiflora,Eragrostis cylindiflora,Eragrostis cylindriflora,Accepted,FALSE,Hochst.,Eragrostis,species,Poaceae,wfo-0000867626,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:400993-1,The Poaceae TEN
Aristida congesta B,Aristida congesta,Aristida congesta,Accepted,FALSE,Roem. & Schult.,Aristida,species,Poaceae,wfo-0000848682,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389336-1,The Poaceae TEN
Urochloa oligotricha,Urochloa oligotricha,Urochloa oligotricha,Accepted,FALSE,(Fig. & De Not.) Henrard,Urochloa,species,Poaceae,wfo-0000906870,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:426269-1,The Poaceae TEN
Dactyloctenium giganteum,Dactyloctenium giganteum,Dactyloctenium giganteum,Accepted,FALSE,B.S.Fisher & Schweick.,Dactyloctenium,species,Poaceae,wfo-0000861723,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397402-1,The Poaceae TEN
Melinis nerviglumis,Melinis nerviglumis,Melinis nerviglumis,Accepted,FALSE,(Franch.) Zizka,Melinis,species,Poaceae,wfo-0000879571,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2945821-1,The Poaceae TEN
Eragrostis racemosa,Eragrostis racemosa,Eragrostis racemosa,Accepted,FALSE,(Thunb.) Steud.,Eragrostis,species,Poaceae,wfo-0000868336,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:401493-1,The Poaceae TEN
Aristida congesta C,Aristida congesta,Aristida congesta,Accepted,FALSE,Roem. & Schult.,Aristida,species,Poaceae,wfo-0000848682,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389336-1,The Poaceae TEN
