I.D_code ,longitude,latitude
SCP1Z2CR2,29.33187998,-19.66204299
SCP1Z2CR3,29.33179826,-19.66187612
SCP1Z2CR4,29.33207461,-19.66175965
SCP1Z3CR1,29.33248629,-19.66203768
SCP1Z3CR2,29.33241848,-19.66186344
SCP1Z3CR4,29.33220796,-19.66209697
SCP1Z4CR1,29.332402,-19.661887
SCP1Z4CR2,29.3323485,-19.66170717
SCP1Z4CR3,29.332057,-19.66178801
SCP1ZCENTER,29.3321509,-19.66193777
SCP2Z1CR1,29.33281633,-19.66220625
SCP2Z1CR2,29.33283507,-19.66239122
SCP2Z1CR4,29.33253301,-19.66225698
SCP2Z2CR1,29.33254635,-19.66224167
SCP2Z2CR3,29.33230301,-19.66251103
SCP2Z2CR4,29.33228892,-19.66228601
SCP2Z3CR2,29.33257955,-19.66260194
SCP2Z3CR1,29.33287198,-19.66236804
SCP2Z3CR3,29.3328584,-19.66256068
SCP2Z4CR2,29.33259504,-19.66256199
SCP2Z4CR3,29.33230759,-19.66263725
SCP2Z4CR4,29.33226962,-19.66247652
SCP2ZCENTER,29.33257445,-19.66241442
SCP3Z1CR1,29.33131942,-19.66215945
SCP3Z1CR3,29.33154898,-19.66192304
SCP3Z1CR4,29.33158902,-19.66209774
SCP3Z2CR2,29.33121898,-19.66179396
SCP3Z2CR3,29.33151733,-19.66173957
SCP3Z2CR4,29.33156019,-19.66192972
SCP3Z3CR1,29.33104362,-19.66222233
SCP3Z3CR2,29.3310026,-19.66204329
SCP3Z3CR4,29.331366,-19.66222102
SCP3Z4CR1,29.33102896,-19.66203704
SCP3Z4CR2,29.33095763,-19.66185332
SCP3Z4CR3,29.33123994,-19.66180481
SCP3ZCENTER,29.33127394,-19.66198388
SCP4Z1CR1,29.33055741,-19.66225434
SCP4Z1CR3,29.33078873,-19.66204999
SCP4Z1CR4,29.33083856,-19.66223484
SCP4Z2CR2,29.33041197,-19.66194098
SCP4Z2CR3,29.33073058,-19.66189211
SCP4Z2CR4,29.33078497,-19.66208104
SCP4Z3CR1,29.33029707,-19.66231861
SCP4Z3CR2,29.33023155,-19.6621415
SCP4Z3CR4,29.33055103,-19.66229201
SCP4Z4CR1,29.33020402,-19.66215103
SCP4Z4CR2,29.33016786,-19.66197046
SCP4Z4CR3,29.33044289,-19.66191366
SCP4ZCENTER,29.33046317,-19.66207898
SCP5Z1CR1,29.33093755,-19.66285674
SCP5Z1CR3,29.33101203,-19.66255596
SCP5Z1CR4,29.33114373,-19.66269306
SCP5Z2CR2,29.33072898,-19.66255202
SCP5Z2CR3,29.33094409,-19.66238699
SCP5Z2CR4,29.33104466,-19.66254769
SCP5Z3CR1,29.3306641,-19.66294911
SCP5Z3CR2,29.33053301,-19.66278302
SCP5Z3CR4,29.33092997,-19.66287003
SCP5Z4CR1,29.33053879,-19.6627805
SCP5Z4CR2,29.33044361,-19.66261697
SCP5Z4CR3,29.33072753,-19.66256143
SCP5ZCENTER,29.33080546,-19.66273941
SDP1Z1CR1,29.22059521,-19.63962891
SDP1Z1CR2,29.22041516,-19.63966554
SDP1Z1CR4,29.22056863,-19.63936553
SDP1Z2CR1,29.22056898,-19.63938897
SDP1Z2CR3,29.22030201,-19.63911798
SDP1Z2CR4,29.22050492,-19.63907759
SDP1Z3CR1,29.22042598,-19.63967797
SDP1Z3CR2,29.22023448,-19.63970094
SDP1Z3CR4,29.22018399,-19.63944596
SDP1Z4CR2,29.2202078,-19.63944508
SDP1Z4CR3,29.22011471,-19.63912698
SDP1Z4CR4,29.22030201,-19.63911798
SDP1ZCENTER,29.22036158,-19.63939616
SDP2Z1CR1,29.22133666,-19.63973375
SDP2Z1CR2,29.22113309,-19.63972681
SDP2Z1CR4,29.22140644,-19.6394696
SDP2Z2CR1,29.22142703,-19.63946398
SDP2Z2CR3,29.22126248,-19.63918102
SDP2Z2CR4,29.22148531,-19.63918555
SDP2Z3CR1,29.22114599,-19.63971402
SDP2Z3CR2,29.22095537,-19.63969917
SDP2Z3CR3,29.22095148,-19.639425
SDP2Z4CR2,29.22099201,-19.639452
SDP2Z4CR3,29.22104915,-19.63912513
SDP2Z4CR4,29.22124003,-19.63918797
SDP2ZCENTER,29.22120926,-19.63945686
SDP3Z1CR1,29.22213504,-19.6397759
SDP3Z1CR2,29.22193296,-19.63982801
SDP3Z1CR4,29.22218166,-19.63949804
SDP3Z2CR1,29.22220001,-19.63951503
SDP3Z2CR3,29.22204363,-19.63919736
SDP3Z2CR4,29.22223473,-19.63921555
SDP3Z3CR1,29.2219274,-19.63980822
SDP3Z3CR2,29.22174956,-19.63978007
SDP3Z3CR3,29.22180747,-19.63951062
SDP3Z4CR2,29.22180497,-19.63954202
SDP3Z4CR3,29.22186943,-19.6392273
SDP3Z4CR4,29.22204796,-19.63920398
SDP3ZCENTER,29.22199792,-19.63950356
SDP4Z1CR1,29.22290313,-19.63993195
SDP4Z1CR2,29.22272304,-19.639899
SDP4Z1CR4,29.22297715,-19.63965878
SDP4Z2CR1,29.22299202,-19.63965098
SDP4Z2CR3,29.22284952,-19.63934188
SDP4Z2CR4,29.22306737,-19.63935826
SDP4Z3CR1,29.22272533,-19.6399122
SDP4Z3CR2,29.22252707,-19.63987073
SDP4Z3CR3,29.22258955,-19.6395797
SDP4Z4CR2,29.22261902,-19.63960103
SDP4Z4CR3,29.2226417,-19.63929987
SDP4Z4CR4,29.22285598,-19.63930699
SDP4ZCENTER,29.22277574,-19.63964401
SDP5Z1CR1,29.2242043,-19.63984761
SDP5Z1CR2,29.22398603,-19.63980102
SDP5Z1CR4,29.22428261,-19.63957889
SDP5Z2CR1,29.22429096,-19.63959298
SDP5Z2CR3,29.22418904,-19.63924102
SDP5Z2CR4,29.2243813,-19.63930415
SDP5Z3CR1,29.22398672,-19.63983015
SDP5Z3CR2,29.22379719,-19.63980453
SDP5Z3CR3,29.22390987,-19.63954501
SDP5Z4CR2,29.22391796,-19.63952601
SDP5Z4CR3,29.22397415,-19.63922018
SDP5Z4CR4,29.22418728,-19.63925747
SDP5ZCENTER,29.22410226,-19.63957405
SEP1Z1CR1,29.26154007,-19.62730978
