I.D_code,Latitude,Longitude,Elevation,
SFP3Z1CR1,-19.53131497,29.184792,1302.884277,2024-04-16T12:47:36Z
SFP3Z1CR2,-19.53117097,29.18477196,1302.154663,2024-04-16T12:59:54Z
SFP3Z1CR3,-19.53122403,29.18504697,1302.472168,2024-04-02T10:50:47Z
SFP3Z2CR1,-19.53148797,29.18476702,1306.083618,2024-04-19T10:20:32Z
SFP3Z2CR2,-19.53131497,29.184792,1302.884277,2024-04-16T12:47:36Z
SFP3Z2CR4,-19.53155603,29.18503004,1304.409668,2024-04-19T10:28:32Z
SFP3Z3CR2,-19.53122403,29.18504697,1302.472168,2024-04-02T10:50:47Z
SFP3Z3CR3,-19.53125001,29.18532399,1308.342041,2024-04-19T09:45:35Z
SFP3Z3CR4,-19.53143097,29.18530497,1304.235352,2024-04-19T11:15:57Z
SFP3Z4CR1,-19.53155603,29.18503004,1304.409668,2024-04-19T10:28:32Z
SFP3Z4CR3,-19.53143097,29.18530497,1304.235352,2024-04-19T11:15:57Z
SFP3Z4CR4,-19.53159903,29.18528703,1308.822144,2024-04-19T09:23:01Z
SFP3ZCENTER,-19.53137197,29.18504898,1303.512695,2024-04-19T11:23:06Z
SFP4Z1CR1,-19.53192098,29.184462,1298.315796,2024-04-19T11:25:46Z
SFP4Z1CR2,-19.53176811,29.18445563,1297.47644,2024-04-10T13:27:42Z
SFP4Z1CR3,-19.53186298,29.18474103,1296.482666,2024-04-19T10:00:38Z
SFP4Z2CR1,-19.53213003,29.18444901,1295.027588,2024-04-03T08:30:21Z
SFP4Z2CR2,-19.53192098,29.184462,1298.315796,2024-04-19T11:25:46Z
SFP4Z2CR3,-19.53221602,29.18475604,1296.729004,2024-04-08T07:23:44Z
SFP4Z3CR2,-19.53186298,29.18474103,1296.482666,2024-04-19T10:00:38Z
SFP4Z3CR3,-19.53186801,29.18501101,1295.613037,2024-04-08T07:59:02Z
SFP4Z3CR4,-19.53208996,29.18500104,1290.244385,2024-04-03T08:32:59Z
SFP4Z4CR1,-19.53221602,29.18475604,1296.729004,2024-04-08T07:23:44Z
SFP4Z4CR3,-19.53208996,29.18500104,1290.244385,2024-04-03T08:32:59Z
SFP4Z4CR4,-19.53226497,29.18498201,1290.621582,2024-04-08T10:23:10Z
SFP4ZCENTER,-19.53204323,29.18472912,1299.154175,2024-04-10T13:13:26Z
SFP5Z1CR1,-19.53240403,29.18426402,1298.008057,2024-04-09T11:44:39Z
SFP5Z1CR2,-19.53223497,29.184275,1298.30835,2024-04-09T11:41:56Z
SFP5Z1CR3,-19.53234896,29.18450299,1298.597656,2024-04-09T11:50:33Z
SFP5Z2CR1,-19.53259698,29.18430802,1297.437866,2024-04-09T12:03:29Z
SFP5Z2CR2,-19.53240403,29.18426402,1298.008057,2024-04-09T11:44:39Z
SFP5Z2CR4,-19.53269304,29.18451799,1298.835938,2024-04-09T12:07:16Z
SFP5Z3CR2,-19.53234896,29.18450299,1298.597656,2024-04-09T11:50:33Z
SFP5Z3CR3,-19.53248802,29.18479904,1300.13208,2024-04-09T12:59:21Z
SFP5Z3CR4,-19.53265398,29.18480901,1301.178589,2024-04-09T13:03:39Z
SFP5Z4CR1,-19.53269304,29.18451799,1298.835938,2024-04-09T12:07:16Z
SFP5Z4CR3,-19.53265398,29.18480901,1301.178589,2024-04-09T13:03:39Z
SFP5Z4CR4,-19.532844,29.18483097,1307.745239,2024-04-09T13:25:52Z
SFP5ZCENTER,-19.53254501,29.18452604,1299.104248,2024-04-10T06:55:46Z
