I.D_code,Latitude,Longitude,Elevation,
SBP3ZCENTER,-19.712912,29.32186503,1341.394165,
SBP4Z1CR1,-19.71279499,29.32116003,1344.035889,
SBP4Z1CR2,-19.71273799,29.32086599,1345.117676,
SBP4Z1CR4,-19.71261696,29.32125198,1346.699219,
SBP4Z2CR1,-19.71261696,29.32125198,1346.699219,
SBP4Z2CR3,-19.71247799,29.320982,1339.15686,
SBP4Z2CR4,-19.71252199,29.32128198,1338.651367,
SBP4Z3CR1,-19.71273799,29.32086599,1345.117676,
SBP4Z3CR2,-19.71268301,29.32056298,1337.476318,
SBP4Z3CR3,-19.71256499,29.32061302,1333.462158,
SBP4Z4CR1,-19.71247799,29.320982,1339.15686,
SBP4Z4CR2,-19.71256499,29.32061302,1333.462158,
SBP4Z4CR3,-19.71241001,29.32070397,1336.134888,
SBP4ZCENTER,-19.71256902,29.32095501,1346.829346,
SBP5Z1CR1,-19.71318802,29.32085803,1336.851685,
SBP5Z1CR2,-19.71335599,29.32079399,1338.618042,
SBP5Z1CR4,-19.71310403,29.32058302,1339.976196,
SBP5Z2CR1,-19.71310403,29.32058302,1339.976196,
SBP5Z2CR3,-19.71318802,29.32020701,1341.347534,
SBP5Z2CR4,-19.71303999,29.320293,1342.463257,
SBP5Z3CR1,-19.71335599,29.32079399,1338.618042,
SBP5Z3CR2,-19.71349203,29.32073096,1343.765015,
SBP5Z3CR3,-19.71341198,29.32042996,1341.189819,
SBP5Z4CR2,-19.71341198,29.32042996,1341.189819,
SBP5Z4CR3,-19.713358,29.32014003,1338.969727,
SBP5Z4CR4,-19.71318802,29.32020701,1341.347534,
SBP5ZCENTER,-19.71325398,29.32049199,1340.29834,
SCP1Z1CR1,-19.66209697,29.33220796,1318.29834,2024-04-14T07:20:49Z
SCP1Z1CR2,-19.66219503,29.33193002,1317.602905,2024-04-14T07:08:16Z
SCP1Z1CR4,-19.66204299,29.33187998,1318.597534,2024-04-14T07:48:03Z
SCP1Z2CR2,-19.66204299,29.33187998,1318.597534,2024-04-14T07:48:03Z
SCP1Z2CR3,-19.66189303,29.33180697,1314.239136,2024-04-14T08:16:20Z
SCP1Z2CR4,-19.66178801,29.332057,1312.945923,2024-04-14T08:07:41Z
SCP1Z3CR1,-19.66205296,29.332488,1317.802856,2024-04-14T09:08:34Z
SCP1Z3CR2,-19.661887,29.332402,1314.452515,2024-04-14T08:49:13Z
SCP1Z3CR4,-19.66209697,29.33220796,1318.29834,2024-04-14T07:20:49Z
SCP1Z4CR1,-19.661887,29.332402,1314.452515,2024-04-14T08:49:13Z
SCP1Z4CR2,-19.66171701,29.33231399,1314.55603,2024-04-14T08:38:13Z
SCP1Z4CR3,-19.66178801,29.332057,1312.945923,2024-04-14T08:07:41Z
SCP1ZCENTER,-19.66192204,29.33216597,1313.761353,2024-04-12T06:48:04Z
SCP2Z1CR1,-19.66222202,29.33280098,1313.976807,2024-04-12T06:51:38Z
SCP2Z1CR2,-19.66236804,29.33287198,1313.389771,2024-04-12T06:58:41Z
SCP2Z1CR4,-19.66225698,29.33253301,1316.421997,2024-04-12T07:29:16Z
SCP2Z2CR1,-19.66225698,29.33253301,1316.421997,2024-04-12T07:29:16Z
SCP2Z2CR3,-19.66251103,29.33230301,1317.937134,2024-04-12T08:29:03Z
SCP2Z2CR4,-19.66229302,29.33227804,1317.932861,2024-03-22T07:22:16Z
SCP2Z3CR2,-19.66236804,29.33287198,1313.389771,2024-04-12T06:58:41Z
SCP2Z3CR2,-19.66256199,29.33259504,1321.4646,2024-04-12T07:35:45Z
SCP2Z3CR3,-19.66262997,29.33287701,1311.277588,2024-04-12T07:43:47Z
SCP2Z4CR2,-19.66256199,29.33259504,1321.4646,2024-04-12T07:35:45Z
SCP2Z4CR3,-19.66267699,29.3323,1317.96936,2024-04-12T09:15:17Z
SCP2Z4CR4,-19.66251103,29.33230301,1317.937134,2024-04-12T08:29:03Z
SCP2ZCENTER,-19.66242998,29.33258104,1316.955688,2024-04-12T08:22:56Z
SCP3Z1CR1,-19.66222102,29.331366,1318.471191,2024-04-12T07:57:05Z
SCP3Z1CR3,-19.66192304,29.33154898,1315.436646,2024-04-12T13:26:37Z
SCP3Z1CR4,-19.66212404,29.33161302,1318.438232,2024-04-12T08:02:35Z
SCP3Z2CR2,-19.66179396,29.33121898,1314.699951,2024-04-12T14:03:29Z
SCP3Z2CR3,-19.66175096,29.33153104,1317.365601,2024-04-12T13:19:33Z
SCP3Z2CR4,-19.66192304,29.33154898,1315.436646,2024-04-12T13:26:37Z
SCP3Z3CR1,-19.66223703,29.33105797,1315.339233,2024-04-12T13:58:51Z
SCP3Z3CR2,-19.66203704,29.33102896,1315.462891,2024-04-12T13:54:56Z
SCP3Z3CR4,-19.66222102,29.331366,1318.471191,2024-04-12T07:57:05Z
SCP3Z4CR1,-19.66203704,29.33102896,1315.462891,2024-04-12T13:54:56Z
SCP3Z4CR2,-19.66186202,29.33096702,1314.423584,2024-04-12T12:39:19Z
SCP3Z4CR3,-19.66179396,29.33121898,1314.699951,2024-04-12T14:03:29Z
SCP3ZCENTER,-19.66197099,29.33126802,1315.000854,2024-04-12T12:29:46Z
SCP4Z1CR1,-19.66229201,29.33055103,1312.613892,2024-04-12T12:33:32Z
SCP4Z1CR3,-19.66208104,29.33078497,1309.285767,2024-04-12T12:47:09Z
SCP4Z1CR4,-19.66224298,29.33091799,1320.264893,2024-04-12T12:25:55Z
SCP4Z2CR2,-19.66194098,29.33041197,1313.230591,2024-04-15T07:36:51Z
SCP4Z2CR3,-19.66191298,29.33070199,1314.189819,2024-04-13T07:02:49Z
SCP4Z2CR4,-19.66208104,29.33078497,1309.285767,2024-04-12T12:47:09Z
SCP4Z3CR1,-19.66235203,29.33028004,1312.87146,2024-03-22T11:42:30Z
SCP4Z3CR2,-19.66215103,29.33020402,1313.910034,2024-04-15T09:01:59Z
SCP4Z3CR4,-19.66229201,29.33055103,1312.613892,2024-04-12T12:33:32Z
SCP4Z4CR1,-19.66215103,29.33020402,1313.910034,2024-04-15T09:01:59Z
SCP4Z4CR2,-19.66199001,29.330143,1313.937378,2024-03-22T11:49:17Z
SCP4Z4CR3,-19.66194098,29.33041197,1313.230591,2024-04-15T07:36:51Z
SCP4ZCENTER,-19.66210602,29.33044097,1316.074829,2024-04-15T07:48:22Z
SCP5Z1CR1,-19.66287003,29.33092997,1319.589478,2024-04-15T07:57:37Z
SCP5Z1CR3,-19.66255596,29.33101203,1298.329834,2024-04-15T07:51:37Z
SCP5Z1CR4,-19.66271404,29.33114103,1318.935059,2024-04-15T08:01:02Z
SCP5Z2CR2,-19.66255202,29.33072898,1318.00769,2024-04-15T12:24:04Z
SCP5Z2CR3,-19.66237902,29.33095202,1316.851196,2024-04-15T08:09:01Z
SCP5Z2CR4,-19.66255596,29.33101203,1298.329834,2024-04-15T07:51:37Z
SCP5Z3CR1,-19.66292996,29.33065404,1320.955322,2024-04-15T11:25:35Z
SCP5Z3CR2,-19.66278302,29.33053301,1319.480835,2024-04-15T12:20:38Z
SCP5Z3CR4,-19.66287003,29.33092997,1319.589478,2024-04-15T07:57:37Z
SCP5Z4CR1,-19.66278302,29.33053301,1319.480835,2024-04-15T12:20:38Z
SCP5Z4CR2,-19.66262897,29.33042203,1319.007812,2024-04-15T12:28:33Z
SCP5Z4CR3,-19.66255202,29.33072898,1318.00769,2024-04-15T12:24:04Z
SCP5ZCENTER,-19.66275503,29.33081397,1319.098389,2024-04-15T11:58:31Z
SDP1Z1CR1,-19.63964202,29.22060602,1331.076904,2024-04-15T12:40:36Z
SDP1Z1CR2,-19.63967797,29.22042598,1331.996582,2024-04-15T11:59:22Z
SDP1Z1CR4,-19.63938897,29.22056898,1330.782837,2024-04-15T12:41:29Z
SDP1Z2CR1,-19.63938897,29.22056898,1330.782837,2024-04-15T12:41:29Z
SDP1Z2CR3,-19.63911798,29.22030201,1339.422974,2024-04-15T13:14:41Z
SDP1Z2CR4,-19.63908797,29.22050703,1339.906372,2024-04-15T12:52:46Z
SDP1Z3CR1,-19.63967797,29.22042598,1331.996582,2024-04-15T11:59:22Z
SDP1Z3CR2,-19.63973103,29.22022599,1337.812256,2024-05-16T14:06:39Z
SDP1Z3CR4,-19.63944596,29.22018399,1340.057861,2024-04-15T13:53:11Z
SDP1Z4CR2,-19.63944596,29.22018399,1340.057861,2024-04-15T13:53:11Z
SDP1Z4CR3,-19.63913298,29.22011501,1339.540405,2024-04-15T13:59:05Z
SDP1Z4CR4,-19.63911798,29.22030201,1339.422974,2024-04-15T13:14:41Z
SDP1ZCENTER,-19.63941998,29.220372,1332.434204,2024-04-16T05:56:17Z
SDP2Z1CR1,-19.639784,29.22138403,1340.097656,2024-04-16T05:49:30Z
SDP2Z1CR2,-19.63971402,29.22114599,1340.848022,2024-04-16T06:14:00Z
SDP2Z1CR4,-19.63946398,29.22142703,1340.454956,2024-04-16T06:02:39Z
SDP2Z2CR1,-19.63946398,29.22142703,1340.454956,2024-04-16T06:02:39Z
SDP2Z2CR3,-19.63918797,29.22124003,1337.811523,2024-04-16T06:25:53Z
SDP2Z2CR4,-19.63922099,29.22145997,1338.516479,2024-04-16T06:30:57Z
SDP2Z3CR1,-19.63971402,29.22114599,1340.848022,2024-04-16T06:14:00Z
SDP2Z3CR2,-19.63970102,29.22095203,1341.186768,2024-04-16T06:07:50Z
SDP2Z3CR3,-19.639452,29.22099201,1339.153687,2024-04-16T06:37:11Z
