I.D.code,Latitude,Longitude,Elevation,Date,Time,,,,,,
SAP3Z4Q4,-19.68207104,29.31378102,1347.104004,2024-04-20T05:33:54Z,NA,,,,,,
SAP3Z4Q5,-19.681949,29.31382402,1345.178101,2024-04-20T05:50:39Z,NA,,,,,,
SAP4Z1Q1,-19.68154902,29.31305104,1346.33667,2024-04-20T09:22:04Z,NA,,,,,,
SAP4Z1Q2,-19.68156796,29.31313997,1345.938599,2024-04-20T09:26:17Z,NA,,,,,,
SAP4Z1Q3,-19.68180399,29.31318004,1346.991089,2024-04-20T09:41:00Z,NA,,,,,,
SAP4Z1Q4,-19.68178103,29.31306898,1347.703491,2024-04-20T09:31:45Z,NA,,,,,,
SAP4Z1Q5,-19.68165798,29.31308499,1347.244385,2024-04-20T09:36:14Z,NA,,,,,,
SAP4Z2Q1,-19.68182998,29.313059,1348.658447,2024-04-20T10:11:03Z,NA,,,,,,
SAP4Z2Q2,-19.68187097,29.31316503,1348.907593,2024-04-20T09:43:33Z,NA,,,,,,
SAP4Z2Q3,-19.68201203,29.31319102,1349.554443,2024-04-20T10:04:30Z,NA,,,,,,
SAP4Z2Q4,-19.68200902,29.31307501,1349.647339,2024-04-20T10:07:21Z,NA,,,,,,
SAP4Z2Q5,-19.68192402,29.31313201,1348.910767,2024-04-20T10:08:17Z,NA,,,,,,
SAP4Z3Q1,-19.68158204,29.31320703,1345.712402,2024-04-20T09:27:09Z,NA,,,,,,
SAP4Z3Q2,-19.68159101,29.31335798,1347.417847,2024-04-20T09:57:32Z,NA,,,,,,
SAP4Z3Q3,-19.68178597,29.31333804,1348.267944,2024-04-20T09:51:26Z,NA,,,,,,
SAP4Z3Q4,-19.68183702,29.31324097,1347.804443,2024-04-20T09:47:58Z,NA,,,,,,
SAP4Z3Q5,-19.68169302,29.31329596,1347.307983,2024-04-20T09:54:14Z,NA,,,,,,
SAP4Z4Q1,-19.681906,29.31324902,1348.403442,2024-04-20T09:45:43Z,NA,,,,,,
