Site,Plot,Subplot,Quadrat,Spp_name,Rank_dominant_grass,Grazing_value,DPM_Height,Grazing_activity,Quadrat_under_canopy,Dung_presence
A,5,Z1,Q2,NA,NA,NA,22.7,NA,NA,NA
A,5,Z1,Q3,Cymbopogon excavatus,3,Low,NA,N,Y,N
A,5,Z1,Q3,Bothriochloa insculpta,1,Moderate,NA,NA,NA,NA
A,5,Z1,Q3,Urochloa mosambicensis,2,Moderate,NA,NA,NA,NA
A,5,Z1,Q3,NA,NA,NA,NA,NA,NA,NA
A,5,Z1,Q4,Hyperrhenia hirta,3,Moderate,21,N,Y,N
A,5,Z1,Q4,Heteropogon contortus,1,Moderate,17.1,NA,NA,NA
A,5,Z1,Q4,Urochloa mosambicensis,2,Moderate,21.7,NA,NA,NA
A,5,Z1,Q4,NA,NA,NA,23,NA,NA,NA
A,5,Z1,Q5,Urochloa mosambicensis,2,Moderate,17.1,N,N,N
A,5,Z1,Q5,Hyperrhenia filipendula,3,Moderate,14.7,NA,NA,NA
A,5,Z1,Q5,Bothriochloa insculpta,1,Moderate,21.1,NA,NA,NA
A,5,Z1,Q5,NA,NA,NA,21.4,NA,NA,NA
A,5,Z2,Q1,Urochloa mosambicensis,2,Moderate,22.6,N,N,N
A,5,Z2,Q1,Heteropogon contortus,3,Moderate,16.8,NA,NA,NA
A,5,Z2,Q1,Aristida adscensionis,1,Low,14.9,NA,NA,NA
A,5,Z2,Q1,Setaria sphacelata,NA,High,13.6,NA,NA,NA
A,5,Z2,Q2,Urochloa mosambicensis,NA,Moderate,10.6,N,Y,N
A,5,Z2,Q2,Bothriochloa insculpta,1,Moderate,14.8,NA,NA,NA
A,5,Z2,Q2,Heteropogon contortus,2,Moderate,17,NA,NA,NA
A,5,Z2,Q2,Aristida adscensionis,3,Low,19.8,NA,NA,NA
A,5,Z2,Q2,Melinis repens,NA,Low,NA,NA,NA,NA
A,5,Z2,Q3,Panicum maximum,1,High,10.8,N,N,N
A,5,Z2,Q3,Hyperrhenia filipendula,2,Moderate,9.2,NA,NA,NA
A,5,Z2,Q3,NA,NA,NA,11.4,NA,NA,NA
A,5,Z2,Q3,NA,NA,NA,10.3,NA,NA,NA
A,5,Z2,Q4,Heteropogon contortus,1,Moderate,17.7,N,Y,N
A,5,Z2,Q4,Hyperrhenia filipendula,2,Moderate,17.5,NA,NA,NA
A,5,Z2,Q4,Cymbopogon excavatus,3,Low,17.4,NA,NA,NA
A,5,Z2,Q4,NA,NA,NA,16.4,NA,NA,NA
A,5,Z2,Q5,Urochloa mosambicensis,1,Moderate,15.1,N,Y,N
A,5,Z2,Q5,Cymbopogon excavatus,2,Low,17.3,NA,NA,NA
A,5,Z2,Q5,NA,NA,NA,20.1,NA,NA,NA
A,5,Z2,Q5,NA,NA,NA,22.7,NA,NA,NA
A,5,Z3,Q1,Bothriochloa insculpta,1,Moderate,NA,N,Y,N
A,5,Z3,Q1,Urochloa mosambicensis,2,Moderate,NA,NA,NA,NA
A,5,Z3,Q1,NA,NA,NA,22.3,NA,NA,NA
A,5,Z3,Q1,NA,NA,NA,22.3,NA,NA,NA
A,5,Z3,Q2,Bothriochloa insculpta,1,Moderate,NA,N,Y,N
A,5,Z3,Q2,Heteropogon contortus,3,Moderate,NA,NA,NA,NA
A,5,Z3,Q2,Eragrostis gummiflua,NA,Low,NA,NA,NA,NA
A,5,Z3,Q2,Andropogon eucomus,2,Low,NA,NA,NA,NA
A,5,Z3,Q3,Aristida adscensionis,2,Low,20.4,N,N,N
A,5,Z3,Q3,Bothriochloa insculpta,1,Moderate,17.1,NA,NA,NA
A,5,Z3,Q3,NA,NA,NA,19.3,NA,NA,NA
A,5,Z3,Q3,NA,NA,NA,18.6,NA,NA,NA
A,5,Z3,Q4,Bothriochloa insculpta,1,Moderate,17.1,N,N,N
A,5,Z3,Q4,Aristida adscensionis,2,Low,17,NA,NA,NA
A,5,Z3,Q4,Cymbopogon excavatus,3,Low,20.2,NA,NA,NA
A,5,Z3,Q4,Eragrostis superba,NA,Moderate,22.5,NA,NA,NA
A,5,Z3,Q5,Heteropogon contortus,3,Moderate,8.7,N,Y,N
A,5,Z3,Q5,Bothriochloa insculpta,1,Moderate,11.6,NA,NA,NA
A,5,Z3,Q5,Hyperrhenia hirta,2,Moderate,11.3,NA,NA,NA
A,5,Z3,Q5,NA,NA,NA,10.3,NA,NA,NA
A,5,Z4,Q1,Bothriochloa insculpta,1,Moderate,13.2,N,N,N
A,5,Z4,Q1,Heteropogon contortus,2,Moderate,17.8,NA,NA,NA
A,5,Z4,Q1,Aristida adscensionis,3,Low,18.3,NA,NA,NA
A,5,Z4,Q1,Cymbopogon excavatus,NA,Low,17.6,NA,NA,NA
A,5,Z4,Q2,Eragrostis gummiflua,3,Low,19.1,N,N,N
A,5,Z4,Q2,Bothriochloa insculpta,2,Moderate,16,NA,NA,NA
A,5,Z4,Q2,Cymbopogon excavatus,1,Low,17.5,NA,NA,NA
A,5,Z4,Q2,NA,NA,NA,18.1,NA,NA,NA
A,5,Z4,Q3,Bothriochloa insculpta,1,Moderate,20.8,N,Y,N
A,5,Z4,Q3,Aristida adscensionis,2,Low,18.1,NA,NA,NA
A,5,Z4,Q3,Urochloa mosambicensis,3,Moderate,23.3,NA,NA,NA
A,5,Z4,Q3,Hyperrhenia filipendula,NA,Moderate,24.5,NA,NA,NA
A,5,Z4,Q4,Bothriochloa insculpta,1,Moderate,NA,N,Y,N
A,5,Z4,Q4,Cymbopogon excavatus,2,Low,24.2,NA,NA,NA
A,5,Z4,Q4,NA,NA,NA,19,NA,NA,NA
A,5,Z4,Q4,NA,NA,NA,23.6,NA,NA,NA
A,5,Z4,Q5,Heteropogon contortus,3,Moderate,18.8,N,N,N
A,5,Z4,Q5,Bothriochloa insculpta,1,Moderate,15.6,NA,NA,NA
A,5,Z4,Q5,Urochloa mosambicensis,2,Moderate,18.3,NA,NA,NA
A,5,Z4,Q5,NA,NA,NA,18.6,NA,NA,NA
B,1,Z1,Q1,Eragrostis superba,3,Moderate,6.4,Y,N,N
B,1,Z1,Q1,Heteropogon contortus,1,Moderate,2.8,NA,NA,NA
B,1,Z1,Q1,Cymbopogon excavatus,2,Low,5.8,NA,NA,NA
B,1,Z1,Q1,NA,NA,NA,2.6,NA,NA,NA
B,1,Z1,Q2,Eragrostis gummiflua,2,Low,5.1,N,N,N
B,1,Z1,Q2,Heteropogon contortus,1,Moderate,4.2,NA,NA,NA
B,1,Z1,Q2,Cymbopogon excavatus,3,Low,6.7,NA,NA,NA
B,1,Z1,Q2,NA,NA,NA,6.2,NA,NA,NA
B,1,Z1,Q3,Cymbopogon excavatus,NA,Low,6.1,Y,Y,N
B,1,Z1,Q3,Heteropogon contortus,1,Moderate,3.7,NA,NA,NA
B,1,Z1,Q3,Melinis repens,2,Low,3.2,NA,NA,NA
B,1,Z1,Q3,Aristida congesta C,3,Low,2.4,NA,NA,NA
B,1,Z1,Q4,Eragrostis gummiflua,NA,Low,8.5,Y,N,N
B,1,Z1,Q4,Eragrostis rigidior,2,Moderate,3.1,3,NA,NA
B,1,Z1,Q4,Melinis repens,3,Low,4.4,1,NA,NA
B,1,Z1,Q4,Heteropogon contortus,1,Moderate,4.2,NA,NA,NA
B,1,Z1,NA,NA,NA,NA,NA,NA,NA,NA
B,1,Z1,Q5,Aristida congesta C,2,Low,6.7,Y,N,Y
B,1,Z1,Q5,Heteropogon contortus,1,Moderate,6,NA,NA,NA
B,1,Z1,Q5,NA,NA,NA,6.7,NA,NA,NA
B,1,Z1,Q5,NA,NA,NA,5.3,NA,NA,NA
B,1,Z2,Q1,Cymbopogon excavatus,NA,Low,2.2,N,N,N
B,1,Z2,Q1,Eragrostis rigidior,1,Moderate,8,NA,NA,NA
B,1,Z2,Q1,Heteropogon contortus,3,Moderate,14,NA,NA,NA
B,1,Z2,Q1,Aristida  canescens,2,Low,20,NA,NA,NA
B,1,Z2,Q2,Aristida congesta C,3,Low,7,Y,N,Y
B,1,Z2,Q2,Eragrostis rigidior,2,Moderate,8.2,NA,NA,NA
B,1,Z2,Q2,Heteropogon contortus,1,Moderate,5.9,NA,NA,NA
B,1,Z2,Q2,Aristida  canescens,NA,Low,6.6,NA,NA,NA
B,1,Z2,Q3,Bothriochloa insculpta,1,Moderate,2.6,Y,N,N
B,1,Z2,Q3,Melinis repens,2,Low,6,NA,NA,NA
B,1,Z2,Q3,Heteropogon contortus,3,Moderate,7.6,NA,NA,NA
B,1,Z2,Q3,NA,NA,NA,6.6,NA,NA,NA
B,1,Z2,Q4,Cymbopogon excavatus,2,Low,11.4,N,Y,N
B,1,Z2,Q4,Bothriochloa insculpta,1,Moderate,22.9,NA,NA,NA
B,1,Z2,Q4,NA,NA,NA,6.3,NA,NA,NA
B,1,Z2,Q4,NA,NA,NA,NA,NA,NA,NA
B,1,Z2,Q5,Heteropogon contortus,1,Moderate,5.6,Y,N,N
B,1,Z2,Q5,Melinis repens,3,Low,7.2,NA,NA,NA
B,1,Z2,Q5,Bothriochloa insculpta,2,Moderate,5.2,NA,NA,NA
B,1,Z2,Q5,NA,NA,NA,7.5,NA,NA,NA
B,1,Z3,Q1,Aristida congesta B,3,Low,4,Y,N,N
B,1,Z3,Q1,Eragrostis rigidior,2,Moderate,4.7,NA,NA,NA
B,1,Z3,Q1,Eragrostis superba,NA,Moderate,4.7,NA,NA,NA
B,1,Z3,Q1,Cymbopogon excavatus,NA,Low,10.5,NA,NA,NA
B,1,Z3,Q1,Hyperrhenia filipendula,NA,Moderate,NA,NA,NA,NA
B,1,Z3,Q1,Heteropogon contortus,1,Moderate,NA,NA,NA,NA
B,1,Z3,Q2,Eragrostis gummiflua,2,Low,10.7,N,Y,N
B,1,Z3,Q2,Heteropogon contortus,1,Moderate,11.9,NA,NA,NA
B,1,Z3,Q2,Eragrostis superba,3,Moderate,10.6,NA,NA,NA
B,1,Z3,Q2,NA,NA,NA,9.7,NA,NA,NA
B,1,Z3,Q3,Aristida congesta B,NA,Low,7.3,Y,N,N
B,1,Z3,Q3,Eragrostis superba,2,Moderate,8.8,NA,NA,NA
B,1,Z3,Q3,Heteropogon contortus,1,Moderate,12.3,NA,NA,NA
B,1,Z3,Q3,Eragrostis gummiflua,3,Low,5.6,NA,NA,NA
B,1,Z3,Q3,Aristida adscensionis,NA,Moderate,NA,NA,NA,NA
B,1,Z3,Q3,Bothriochloa insculpta,NA,Moderate,NA,NA,NA,NA
B,1,Z3,Q4,Aristida congesta B,NA,Low,5.3,Y,Y,N
B,1,Z3,Q4,Heteropogon contortus,1,Moderate,5.9,NA,NA,NA
B,1,Z3,Q4,Eragrostis gummiflua,NA,Low,5.3,NA,NA,NA
B,1,Z3,Q4,Aristida adscensionis,3,Low,5.2,NA,NA,NA
B,1,Z3,Q4,Melinis repens,NA,Low,NA,NA,NA,NA
B,1,Z3,Q4,Themeda triandra,NA,High,NA,NA,NA,NA
B,1,Z3,Q4,Setaria sphacelata,2,High,NA,NA,NA,NA
B,1,Z3,Q5,Heteropogon contortus,1,Moderate,5.1,Y,Y,N
B,1,Z3,Q5,Cymbopogon excavatus,2,Low,5.5,NA,NA,NA
B,1,Z3,Q5,NA,NA,NA,5.9,NA,NA,NA
B,1,Z3,Q5,NA,NA,NA,6.5,NA,NA,NA
B,1,Z4,Q1,Eragrostis gummiflua,2,Low,2.8,Y,Y,N
B,1,Z4,Q1,Heteropogon contortus,NA,Moderate,5.7,NA,NA,NA
B,1,Z4,Q1,Cymbopogon excavatus,3,Low,8.2,NA,NA,NA
B,1,Z4,Q1,Melinis repens,NA,Low,7.1,NA,NA,NA
B,1,Z4,Q1,Bothriochloa insculpta,1,Moderate,NA,NA,NA,NA
B,1,Z4,Q2,Heteropogon contortus,1,Moderate,3.8,Y,Y,N
B,1,Z4,Q2,Cymbopogon excavatus,2,Low,7,NA,NA,NA
B,1,Z4,Q2,NA,NA,NA,5.8,NA,NA,NA
B,1,Z4,Q2,NA,NA,NA,5.8,NA,NA,NA
B,1,Z4,Q3,Cymbopogon excavatus,NA,Low,16.4,N,Y,N
B,1,Z4,Q3,Eragrostis superba,NA,Moderate,17.6,NA,NA,NA
B,1,Z4,Q3,Eragrostis gummiflua,3,Low,14.9,NA,NA,NA
B,1,Z4,Q3,Aristida congesta B,2,Low,13.4,NA,NA,NA
B,1,Z4,Q3,Heteropogon contortus,1,Moderate,NA,NA,NA,NA
B,1,Z4,Q4,Heteropogon contortus,2,Moderate,4,Y,N,N
B,1,Z4,Q4,Cymbopogon excavatus,NA,Low,3.4,NA,NA,NA
B,1,Z4,Q4,Melinis repens,3,Low,4.8,NA,NA,NA
B,1,Z4,Q4,Bothriochloa insculpta,1,Moderate,4.9,NA,NA,NA
B,1,Z4,Q5,Heteropogon contortus,1,Moderate,1.9,Y,Y,N
B,1,Z4,Q5,Eragrostis gummiflua,3,Low,4.2,NA,NA,NA
B,1,Z4,Q5,Eragrostis superba,2,Moderate,6.7,NA,NA,NA
B,1,Z4,Q5,NA,NA,NA,7,NA,NA,NA
B,2,Z1,Q1,Brachiaria serrata,2,Moderate,7.9,Y,N,N
B,2,Z1,Q1,Heteropogon contortus,3,Moderate,8.2,NA,NA,NA
B,2,Z1,Q1,Aristida adscensionis,NA,Low,8.9,NA,NA,NA
B,2,Z1,Q1,Bothriochloa insculpta,1,Moderate,9.8,NA,NA,NA
B,2,Z1,Q2,Heteropogon contortus,NA,Moderate,18.5,N,Y,N
B,2,Z1,Q2,Cymbopogon excavatus,1,Low,18.5,NA,NA,NA
B,2,Z1,Q2,Aristida adscensionis,2,Low,16.1,NA,NA,NA
B,2,Z1,Q2,Themeda triandra,3,High,17.4,NA,NA,NA
B,2,Z1,Q3,Heteropogon contortus,2,Moderate,10.7,N,Y,N
B,2,Z1,Q3,Cymbopogon excavatus,1,Low,11,NA,NA,NA
B,2,Z1,Q3,NA,NA,NA,14.8,NA,NA,NA
B,2,Z1,Q3,NA,NA,NA,14.9,NA,NA,NA
B,2,Z1,Q4,Heteropogon contortus,1,Moderate,9.5,N,N,N
B,2,Z1,Q4,Cymbopogon excavatus,3,Low,10.4,NA,NA,NA
B,2,Z1,Q4,Aristida adscensionis,2,Low,13.2,NA,NA,NA
B,2,Z1,Q4,Eragrostis rigidior,NA,Moderate,12.3,NA,NA,NA
B,2,Z1,Q5,Cymbopogon excavatus,2,Low,17.1,Y,N,N
B,2,Z1,Q5,Aristida adscensionis,1,Low,17.2,NA,NA,NA
B,2,Z1,Q5,Melinis repens,3,Low,18.8,NA,NA,NA
B,2,Z1,Q5,NA,NA,NA,15.6,NA,NA,NA
B,2,Z2,Q1,Cymbopogon excavatus,NA,Low,16.8,N,Y,N
B,2,Z2,Q1,Hyperrhenia filipendula,NA,Moderate,13.3,NA,NA,NA
B,2,Z2,Q1,Heteropogon contortus,1,Moderate,11,NA,NA,NA
B,2,Z2,Q1,Melinis repens,2,Low,22.9,NA,NA,NA
B,2,Z2,Q1,Bothriochloa insculpta,3,Moderate,NA,NA,NA,NA
B,2,Z2,Q2,Heteropogon contortus,1,Moderate,3.4,N,Y,N
B,2,Z2,Q2,Melinis repens,2,Low,5.7,NA,NA,NA
B,2,Z2,Q2,Panicum maximum,3,High,7.4,NA,NA,NA
B,2,Z2,Q2,NA,NA,NA,12,NA,NA,NA
B,2,Z2,Q3,Eragrostis gummiflua,3,Low,9.6,Y,Y,N
B,2,Z2,Q3,Heteropogon contortus,2,Moderate,9.4,NA,NA,NA
B,2,Z2,Q3,Cymbopogon excavatus,NA,Low,9.7,NA,NA,NA
B,2,Z2,Q3,Bothriochloa insculpta,1,Moderate,9.4,NA,NA,NA
B,2,Z2,Q4,Eragrostis gummiflua,NA,Low,9.3,Y,N,N
B,2,Z2,Q4,Heteropogon contortus,1,Moderate,8.3,NA,NA,NA
B,2,Z2,Q4,Cymbopogon excavatus,NA,Low,7.8,NA,NA,NA
B,2,Z2,Q4,Bothriochloa insculpta,2,Moderate,7.5,NA,NA,NA
B,2,Z2,Q4,Eragrostis rigidior,NA,Moderate,NA,NA,NA,NA
B,2,Z2,Q4,Melinis repens,3,Low,NA,NA,NA,NA
B,2,Z2,Q5,Cymbopogon excavatus,2,Low,9.3,N,Y,N
B,2,Z2,Q5,Eragrostis gummiflua,3,Low,15.3,NA,NA,NA
B,2,Z2,Q5,Heteropogon contortus,1,Moderate,11,NA,NA,NA
B,2,Z2,Q5,Urochloa mosambicensis,NA,Moderate,6.1,NA,NA,NA
B,2,Z3,Q1,Heteropogon contortus,1,Moderate,6.3,N,N,N
B,2,Z3,Q1,Aristida adscensionis,2,Low,5.7,NA,NA,NA
B,2,Z3,Q1,Bothriochloa insculpta,3,Moderate,10.9,NA,NA,NA
B,2,Z3,Q1,NA,NA,NA,11.1,NA,NA,NA
B,2,Z3,Q2,Heteropogon contortus,1,Moderate,2.1,N,N,N
B,2,Z3,Q2,Cymbopogon excavatus,2,Low,4.6,NA,NA,NA
B,2,Z3,Q2,NA,NA,NA,6.9,NA,NA,NA
B,2,Z3,Q2,NA,NA,NA,10.6,NA,NA,NA
B,2,Z3,Q3,Eragrostis gummiflua,2,Low,25.2,N,N,N
B,2,Z3,Q3,Heteropogon contortus,1,Moderate,24.3,NA,NA,NA
B,2,Z3,Q3,Cymbopogon excavatus,NA,Moderate,24,NA,NA,NA
B,2,Z3,Q3,Aristida adscensionis,NA,Low,NA,NA,NA,NA
B,2,Z3,Q3,Melinis repens,3,Low,NA,NA,NA,NA
B,2,Z3,Q3,Digitaria eriantha,NA,High,NA,NA,NA,NA
B,2,Z3,Q4,Heteropogon contortus,2,Moderate,6,N,N,N
B,2,Z3,Q4,Cymbopogon excavatus,3,Low,4.5,NA,NA,NA
B,2,Z3,Q4,Setaria pumila ,1,Moderate,4.7,NA,NA,NA
B,2,Z3,Q4,NA,NA,NA,3.8,NA,NA,NA
B,2,Z3,Q5,Aristida adscensionis,3,Low,10.6,N,N,N
B,2,Z3,Q5,Heteropogon contortus,1,Moderate,13,NA,NA,NA
B,2,Z3,Q5,Digitaria eriantha,NA,High,12.3,NA,NA,NA
B,2,Z3,Q5,NA,2,NA,NA,NA,NA,NA
B,2,Z4,Q1,Heteropogon contortus,2,Moderate,16.8,N,N,N
B,2,Z4,Q1,Cymbopogon excavatus,1,NA,19.1,NA,NA,NA
B,2,Z4,Q1,NA,NA,NA,16.8,NA,NA,NA
B,2,Z4,Q1,NA,NA,NA,17.2,NA,NA,NA
B,2,Z4,Q2,Heteropogon contortus,2,Moderate,12.2,N,N,Y
B,2,Z4,Q2,Cymbopogon excavatus,1,Low,19.4,NA,NA,NA
B,2,Z4,Q2,NA,NA,NA,14.9,NA,NA,NA
B,2,Z4,Q2,NA,NA,NA,13.2,NA,NA,NA
B,2,Z4,Q3,Heteropogon contortus,1,Moderate,9.3,N,N,N
B,2,Z4,Q3,Cymbopogon excavatus,3,Low,10.1,NA,NA,NA
B,2,Z4,Q3,Eragrostis rigidior,NA,Moderate,10.8,NA,NA,NA
B,2,Z4,Q3,Aristida  canescens,NA,Low,10,NA,NA,NA
B,2,Z4,Q3,Setaria incrassata,NA,High,NA,NA,NA,NA
B,2,Z4,Q3,Eragrostis gummiflua,2,Low,NA,NA,NA,NA
B,2,Z4,Q4,Heteropogon contortus,1,Moderate,9.8,N,N,N
B,2,Z4,Q4,Aristida congesta B,2,Low,7.6,NA,NA,NA
B,2,Z4,Q4,NA,NA,NA,10,NA,NA,NA
B,2,Z4,Q4,NA,NA,NA,9,NA,NA,NA
B,2,Z4,Q4,Heteropogon contortus,1,Moderate,9.8,N,N,N
B,2,Z4,Q4,Aristida congesta B,2,Low,7.6,NA,NA,NA
B,2,Z4,Q4,NA,NA,NA,10,NA,NA,NA
B,2,Z4,Q4,NA,NA,NA,9,NA,NA,NA
B,2,Z4,Q5,Heteropogon contortus,1,Moderate,8.6,N,N,N
B,2,Z4,Q5,Eragrostis gummiflua,2,Low,5.2,NA,NA,NA
B,2,Z4,Q5,NA,NA,NA,5.4,NA,NA,NA
B,2,Z4,Q5,NA,NA,NA,4,NA,NA,NA
B,3,Z1,Q1,Cymbopogon excavatus,1,Low,6.8,Y,N,N
B,3,Z1,Q1,Cynodon dactylon,3,High,8.1,NA,NA,NA
B,3,Z1,Q1,Eragrostis superba,NA,Moderate,8.7,NA,NA,NA
B,3,Z1,Q1,Themeda triandra,NA,High,10.5,NA,NA,NA
B,3,Z1,Q1,Bothriochloa insculpta,2,Moderate,NA,NA,NA,NA
B,3,Z1,Q2,Cymbopogon plurinodis,NA,Low,9.5,Y,N,N
B,3,Z1,Q2,Cymbopogon excavatus,NA,Low,9.9,NA,NA,NA
B,3,Z1,Q2,Setaria incrassata,3,High,9.1,NA,NA,NA
B,3,Z1,Q2,Eragrostis superba,NA,Moderate,10.2,NA,NA,NA
B,3,Z1,Q2,Digitaria eriantha,2,High,NA,NA,NA,NA
B,3,Z1,Q2,Heteropogon contortus,1,Moderate,NA,NA,NA,NA
B,3,Z1,Q2,Melinis repens,NA,Low,NA,NA,NA,NA
B,3,Z1,Q3,Heteropogon contortus,1,Moderate,7.5,N,N,Y
B,3,Z1,Q3,Melinis repens,2,Low,6.8,NA,NA,NA
B,3,Z1,Q3,Aristida adscensionis,3,Low,7.3,NA,NA,NA
B,3,Z1,Q3,Bothriochloa insculpta,NA,Moderate,8.6,NA,NA,NA
B,3,Z1,Q4,Cynodon dactylon,1,High,14.1,Y,N,N
B,3,Z1,Q4,Melinis repens,2,Low,10.9,NA,NA,NA
B,3,Z1,Q4,Aristida adscensionis,NA,Low,10.1,NA,NA,NA
B,3,Z1,Q4,Cymbopogon excavatus,3,Low,10.4,NA,NA,NA
B,3,Z1,Q4,Cymbopogon plurinodis,NA,Low,NA,NA,NA,NA
B,3,Z1,Q5,Heteropogon contortus,1,Moderate,15.4,N,N,N
B,3,Z1,Q5,Melinis repens,NA,Low,16.2,NA,NA,NA
B,3,Z1,Q5,Aristida adscensionis,NA,Low,17.1,NA,NA,NA
B,3,Z1,Q5,Bothriochloa insculpta,3,Moderate,16.9,NA,NA,NA
B,3,Z1,Q5,Cymbopogon plurinodis,2,Low,NA,NA,NA,NA
B,3,Z2,Q1,Cynodon dactylon,1,High,10.2,NA,N,N
B,3,Z2,Q1,Themeda triandra,2,High,15.3,NA,NA,NA
B,3,Z2,Q1,Melinis repens,3,Low,16.6,NA,NA,NA
B,3,Z2,Q1,Eragrostis gummiflua,NA,Low,17.2,NA,NA,NA
B,3,Z2,Q2,Themeda triandra,NA,High,16.9,NA,N,N
B,3,Z2,Q2,Hyperrhenia filipendula,2,Moderate,17.3,NA,NA,NA
B,3,Z2,Q2,Cymbopogon excavatus,1,Low,15,NA,NA,NA
B,3,Z2,Q2,Setaria pumila ,NA,Moderate,13.6,NA,NA,NA
B,3,Z2,Q2,Sporobolus africanus,3,Low,NA,NA,NA,NA
B,3,Z2,Q3,Heteropogon contortus,1,Moderate,17.3,NA,Y,N
B,3,Z2,Q3,Melinis repens,2,Low,15.8,NA,NA,NA
B,3,Z2,Q3,Aristida adscensionis,3,Low,14.8,NA,NA,NA
B,3,Z2,Q3,Cymbopogon plurinodis,NA,Low,14.6,NA,NA,NA
B,3,Z2,Q4,Cymbopogon excavatus,3,Low,24.7,NA,N,N
B,3,Z2,Q4,Heteropogon contortus,1,Moderate,26.3,NA,NA,NA
B,3,Z2,Q4,Melinis repens,NA,Low,19.7,NA,NA,NA
B,3,Z2,Q4,Eragrostis gummiflua,2,Low,21.3,NA,NA,NA
B,3,Z2,Q5,Heteropogon contortus,1,Moderate,7.5,NA,N,N
B,3,Z2,Q5,Cymbopogon excavatus,3,Low,8.5,NA,NA,NA
B,3,Z2,Q5,Eragrostis gummiflua,2,Low,12.4,NA,NA,NA
B,3,Z2,Q5,NA,NA,NA,13.5,NA,NA,NA
B,3,Z3,Q1,Eragrostis superba,2,Moderate,7.9,Y,N,N
B,3,Z3,Q1,Heteropogon contortus,1,Moderate,10.7,NA,NA,NA
B,3,Z3,Q1,Melinis repens,3,Low,10.2,NA,NA,NA
B,3,Z3,Q1,Eragrostis gummiflua,NA,Low,9.6,NA,NA,NA
B,3,Z3,Q2,Digitaria eriantha,NA,High,3.2,N,N,Y
B,3,Z3,Q2,Heteropogon contortus,1,Moderate,2.8,NA,NA,NA
B,3,Z3,Q2,Melinis repens,2,Low,5.7,NA,NA,NA
B,3,Z3,Q2,Eragrostis gummiflua,3,Low,10.1,NA,NA,NA
B,3,Z3,Q3,Heteropogon contortus,1,Moderate,7.3,N,N,N
B,3,Z3,Q3,Setaria sphacelata,2,High,9.7,NA,NA,NA
B,3,Z3,Q3,Themeda triandra,NA,High,11.3,NA,NA,NA
B,3,Z3,Q3,Digitaria eriantha,3,high,11.9,NA,NA,NA
B,3,Z3,Q4,Heteropogon contortus,1,Moderate,13,Y,N,N
B,3,Z3,Q4,Cymbopogon plurinodis,3,Low,16.9,NA,NA,NA
B,3,Z3,Q4,Cymbopogon excavatus,2,Low,16.7,NA,NA,NA
B,3,Z3,Q4,NA,NA,NA,16.2,NA,NA,NA
B,3,Z3,Q5,Heteropogon contortus,1,Moderate,5.9,Y,N,N
B,3,Z3,Q5,Aristida adscensionis,NA,Low,9.5,NA,NA,NA
B,3,Z3,Q5,Eragrostis superba,3,Moderate,10.8,NA,NA,NA
B,3,Z3,Q5,Eragrostis gummiflua,2,Low,10.1,NA,NA,NA
B,3,Z4,Q1,Heteropogon contortus,1,Moderate,8.4,N,N,N
B,3,Z4,Q1,Aristida adscensionis,2,Low,7.2,NA,NA,NA
B,3,Z4,Q1,Digitaria eriantha,3,High,10.7,NA,NA,NA
B,3,Z4,Q1,Eragrostis gummiflua,NA,Low,10.1,NA,NA,NA
B,3,Z4,Q1,Cymbopogon plurinodis,NA,Low,NA,NA,NA,NA
B,3,Z4,Q2,Heteropogon contortus,2,Moderate,13.1,N,N,N
B,3,Z4,Q2,Aristida adscensionis,1,Low,12.6,NA,NA,NA
B,3,Z4,Q2,Digitaria eriantha,3,High,14.6,NA,NA,NA
B,3,Z4,Q2,NA,NA,NA,13.1,NA,NA,NA
B,3,Z4,Q3,Heteropogon contortus,1,Moderate,15,N,N,Y
B,3,Z4,Q3,Aristida adscensionis,2,Low,14.5,NA,NA,NA
B,3,Z4,Q3,Setaria pumila ,3,Moderate,14.1,NA,NA,NA
B,3,Z4,Q3,NA,NA,NA,15,NA,NA,NA
B,3,Z4,Q4,Heteropogon contortus,1,Moderate,7.9,Y,N,N
B,3,Z4,Q4,Melinis repens,2,Low,10,NA,NA,NA
B,3,Z4,Q4,Eragrostis gummiflua,3,Low,10.3,NA,NA,NA
B,3,Z4,Q4,NA,NA,NA,10.1,NA,NA,NA
B,3,Z4,Q5,Heteropogon contortus,2,Moderate,6,Y,N,N
B,3,Z4,Q5,Digitaria eriantha,1,High,7.8,NA,NA,NA
B,3,Z4,Q5,Eragrostis gummiflua,3,Low,6.6,NA,NA,NA
B,3,Z4,Q5,NA,NA,NA,8.1,NA,NA,NA
B,4,Z1,Q1,Cymbopogon excavatus,1,Low,17.7,N,Y,N
B,4,Z1,Q1,Eragrostis superba,2,Moderate,17.6,NA,NA,NA
B,4,Z1,Q1,Heteropogon contortus,3,Moderate,20,NA,NA,NA
B,4,Z1,Q1,NA,NA,NA,15.4,NA,NA,NA
B,4,Z1,Q2,Eragrostis gummiflua,3,Low,11.8,Y,N,N
B,4,Z1,Q2,Heteropogon contortus,1,Moderate,13,NA,NA,NA
B,4,Z1,Q2,Aristida adscensionis,NA,Low,11.2,NA,NA,NA
B,4,Z1,Q2,Digitaria eriantha,2,High,13.4,NA,NA,NA
B,4,Z1,Q2,Eragrostis superba,NA,Moderate,NA,NA,NA,NA
