Site,Plot,Subplot,Quadrat,Spp_name,Rank_dominant_grass,Grazing_value,DPM_Height,Grazing_activity,Quadrat_under_canopy,Dung_presence
A,1,Z4,Q4,NA,NA,NA,NA,NA,NA,NA
A,1,Z4,Q5,Heteropogon contortus,2,Moderate,NA,Y,Y,N
A,1,Z4,Q5,Urochloa mosambicensis,1,Moderate,NA,NA,NA,NA
A,1,Z4,Q5,Hyperrhenia hirta,3,Moderate,26.2,NA,NA,NA
A,1,Z4,Q5,NA,NA,NA,25.1,NA,NA,NA
A,2,Z1,Q1,Heteropogon contortus,2,Moderate,21.7,N,N,Y
A,2,Z1,Q1,Andropogon eucomus,3,Low,18.7,NA,NA,NA
A,2,Z1,Q1,Bothriochloa insculpta,1,Moderate,15.9,NA,NA,NA
A,2,Z1,Q1,NA,NA,NA,17.6,NA,NA,NA
A,2,Z1,Q2,Bothriochloa insculpta,1,Moderate,23.3,N,N,N
A,2,Z1,Q2,Aristida adscensionis,2,Low,18.9,NA,NA,NA
A,2,Z1,Q2,Cymbopogon excavatus,3,Low,21.1,NA,NA,NA
A,2,Z1,Q2,Loudetia simplex,NA,Moderate,22.4,NA,NA,NA
A,2,Z1,Q2,Cymbopogon plurinodis,NA,Low,NA,NA,NA,NA
A,2,Z1,Q3,Bothriochloa insculpta,2,Moderate,NA,N,Y,N
A,2,Z1,Q3,Urochloa mosambicensis,1,Moderate,NA,NA,NA,NA
A,2,Z1,Q3,Eragrostis gummiflua,3,Low,NA,NA,NA,NA
A,2,Z1,Q3,NA,NA,NA,NA,NA,NA,NA
A,2,Z1,Q4,Loudetia simplex,NA,Moderate,14.6,N,N,N
A,2,Z1,Q4,Bothriochloa insculpta,1,Moderate,14.2,NA,NA,NA
A,2,Z1,Q4,Eragrostis gummiflua,2,Low,15.3,NA,NA,NA
A,2,Z1,Q4,Hyperrhenia filipendula,3,Moderate,16.7,NA,NA,NA
A,2,Z1,Q5,Bothriochloa insculpta,1,Moderate,20.2,N,Y,N
A,2,Z1,Q5,Hyperrhenia filipendula,2,Moderate,22.4,NA,NA,NA
A,2,Z1,Q5,Setaria pumila ,3,Moderate,23.3,NA,NA,NA
A,2,Z1,Q5,NA,NA,NA,21.5,NA,NA,NA
A,2,Z2,Q1,Heteropogon contortus,NA,Moderate,17.6,N,Y,N
A,2,Z2,Q1,Bothriochloa insculpta,2,Moderate,18.6,NA,NA,NA
A,2,Z2,Q1,Loudetia simplex,3,Moderate,17.2,NA,NA,NA
A,2,Z2,Q1,Eragrostis gummiflua,NA,Low,19.4,NA,NA,NA
