Site,Spp_name,Max_Height,Stem_count
A,Rhus Leptodictya,0.5,1
A,Umtshutshwane,1.1,2
A,Berchemia Zeyheri,0.7,2
A,Rhus Leptodictya,1,4
A,Combretum Hereroense,0.25,1
A,Vachellia Nilotica,0.5,1
A,Vachellia Nilotica,1,1
A,Dichrostachys Cinerea,1.6,4
A,Ziziphus Mucronata,1.6,2
A,Gymnosporia Senegalensis,1,1
A,Combretum Hereroense,2.9,2
A,Senegalia Ataxacantha,1,2
A,Dichrostachys Cinerea,2,3
A,Vachellia Gerrardii,2.1,1
A,Bolusanthus Speciosus,0.7,1
A,Peltophorum Africanum,1,2
A,Ozoroa Insignis,1.4,6
A,Ziziphus Mucronata,3.3,2
A,Ziziphus Mucronata,2,3
A,Combretum Hereroense,1.4,6
A,Ziziphus Mucronata,0.6,4
A,Gymnosporia Senegalensis,1.5,1
A,Warburgia Salutaris,0.7,4
A,Vachellia Nilotica,0.8,3
A,Combretum Hereroense,0.8,1
A,Elaeodendron Papillosum,0.4,1
A,Fluegga Virosa,0.9,2
A,Combretum Hereroense,3,1
A,Diospyros Lycioides,1.8,1
A,Allophylus Africanus,1.8,4
A,Vachellia Gerrardii,2.3,1
A,Peltophorum Africanum,1.8,1
A,Vachellia Karroo,1.8,1
A,Peltophorum Africanum,1.3,3
A,Combretum Hereroense,1.2,1
A,Combretum Apiculatum,0.9,1
A,Carissa Bispinosa,1.3,3
A,Gymnosporia Senegalensis,2,2
A,Vachellia Gerrardii,0.8,1
A,Vachellia Gerrardii,1.5,1
A,Combretum Hereroense,0.4,1
A,Combretum Hereroense,2.2,5
A,Combretum Hereroense,2,3
A,Combretum Hereroense,2.3,3
A,Dichrostachys Cinerea,1.8,3
A,Vachellia Gerrardii,0.9,2
A,Combretum Hereroense,2.3,5
A,Bolusanthus Speciosus,2.8,7
A,Dichrostachys Cinerea,1.1,1
A,Vachellia Gerrardii,2.1,2
A,Vachellia Karroo,0.5,1
A,Vachellia Karroo,2.3,2
A,Combretum Hereroense,1,1
A,Bolusanthus Speciosus,2.5,6
A,Combretum Hereroense,2,5
A,Bolusanthus Speciosus,2.1,3
A,Allophylus Africanus,1,2
A,Combretum Apiculatum,0.3,1
A,Vachellia Gerrardii,2.4,6
A,Vachellia Gerrardii,2.6,2
A,Ziziphus Mucronata,0.2,1
A,Vachellia Karroo,4.3,2
A,Dichrostachys Cinerea,1.3,2
A,Vachellia Gerrardii,1.2,1
A,Ziziphus Mucronata,3,3
A,Bolusanthus Speciosus,1.8,2
A,Bolusanthus Speciosus,1,1
A,Diospyros Lycioides,1,1
A,Combretum Imberbe,1.3,1
A,Dichrostachys Cinerea,1.5,2
A,Senegalia Rehmanniana,1.5,1
A,Peltophorum Africanum,1,4
A,Combretum Imberbe,2,1
A,Fluegga Virosa,1.1,2
A,Dichrostachys Cinerea,1,1
A,Vachellia Karroo,1,2
A,Vachellia Gerrardii,1.3,2
A,Vachellia Gerrardii,1.9,1
A,Senegalia Rehmanniana,1,1
A,Senegalia Rehmanniana,0.3,1
A,Combretum Hereroense,1.4,1
A,Vachellia Gerrardii,2.5,1
A,Peltophorum Africanum,1,1
A,Vachellia Karroo,1.4,1
A,Vachellia Karroo,0.7,1
A,Lippia Javanica,0.7,5
A,Gardenia Spathulifolia,0.6,3
A,Dichrostachys Cinerea,1.2,3
A,Vachellia Gerrardii,2,2
A,Combretum Imberbe,2.1,1
A,Warburgia Salutaris,0.9,1
A,Ozoroa Insignis,1.8,1
A,Combretum Hereroense,2.1,1
