"Site","Plot","Allophylus africanus","Berchemia zeyheri","Bolusanthus speciosus","Carissa bispinosa","Combretum apiculatum","Combretum hereroense","Combretum imberbe","Dichrostachys cinerea","Diospyros lycioides","Diplorhynchus condylocarpon","Dovyalis caffra","Euclea divinorum","Fluegga virosa","Grewia decomovulata","Grewia monticola","Gymnosporia senegalensis","Ozoroa insignis","Peltophorum africanum","Piliostigma thonningii","Rhus lancea","Rhus leptodictya","Senegalia rehmanniana","Terminalia sericea","Vachellia gerrardii","Vachellia karroo","Vachellia nilotica","Warburgia salutaris","Ziziphus mucronata","Grewia flavescens","Senegalia ataxacantha","Cassia abbreviata","Commiphora africana","Elaeodendron papillosum","Gardenia spathulifolia","Ormocarpum trichocarpum","Albizia versicolor","Lannea discolor","Pappea capensis","Ximenia caffra","Indigofera ormocarpoides","Pterocarpus rotundifolius","Canthium inerme","Carissa spinarum","Lippia javanica","Nuxia oppositifolia","Volkameria eriophylla","Zanthoxylum capense","Clerodendrum glabrum","Albizia harveyi","Combretum zeyheri","Sclerocarya birrea","Senegalia nigrescens","Azanza garckeana","Combretum molle","Grewia bicolor","Carissa edulis","Colophospermum mopane","Lannea schweinfurthii","Ochna serrulata","Boscia angustifolia","Gardenia volkensii","Maclura africana","Steganotaenia araliacea","Terminalia prunioides","Vangueria randii","Burkea africana","Dalbergia melanoxylon","Brachystegia spiciformis","Boscia mossambicensis","Gymnosporia buxifolia","Combretum mossambicense","Tarchonanthus camphoratus","Dombeya rotundifolia","Dalbergia nitidula","Flacourtia indica","Kirkia acuminata","Philenoptera violacea","Pseudolachnostylis maprouneifolia","Viscum combreticola","Vitex mombasa"
"C",5,15,0,0,0,36,17,0,316,2,0,0,16,5,18,33,5,5,7,0,0,1,0,16,0,11,62,0,54,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D",1,26,0,0,7,23,16,0,181,11,0,0,68,44,25,10,6,0,3,0,0,0,0,0,26,0,70,6,23,0,0,0,6,0,3,0,0,0,2,0,0,0,0,0,1,0,0,5,3,0,0,0,0,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D",2,22,1,0,4,6,7,0,204,1,0,0,105,71,40,6,4,0,4,0,0,0,0,0,22,0,91,1,19,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,5,1,0,0,0,0,1,0,2,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D",3,20,0,0,8,48,19,0,165,3,0,0,69,52,37,14,4,0,2,0,0,0,0,0,20,0,95,8,41,0,1,3,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"D",4,37,0,5,7,52,20,0,156,4,0,0,77,19,21,1,6,1,5,0,0,0,0,0,24,0,47,1,11,0,0,1,1,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
"D",5,45,1,2,2,37,24,3,172,3,0,0,99,29,29,3,15,0,5,0,0,0,0,0,24,0,12,1,22,0,0,1,2,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21,3,0,1,0,5,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"E",1,11,0,0,0,200,9,0,196,0,0,0,25,48,8,1,12,0,39,0,0,0,0,9,12,0,4,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0
"E",2,12,0,0,1,150,1,0,206,3,0,0,88,69,5,2,12,0,0,0,0,0,0,0,0,0,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,30,4,2,0,0,0,0,0,0,0
"E",3,18,0,0,0,104,7,0,186,0,0,0,54,31,14,4,23,0,8,0,0,0,0,0,2,0,17,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,20,2,1,18,0,0,0,0,0
"E",4,13,0,0,0,96,2,0,215,0,0,0,66,35,20,8,9,0,17,0,0,0,0,0,14,0,13,0,10,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0
"E",5,12,1,0,1,280,40,0,205,1,0,0,57,59,4,4,9,0,15,0,0,0,0,14,23,3,44,0,20,0,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"F",1,5,0,2,1,49,39,16,46,0,0,0,19,1,5,8,1,0,3,0,0,0,1,38,4,1,67,0,13,1,0,0,5,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,43,0,0,7,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,7,1,0,0,0
"F",2,10,0,1,0,33,0,0,101,0,0,0,13,0,5,5,0,2,1,0,0,0,0,6,5,0,103,0,3,1,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,13,0,0,0,6,1,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,0
"F",3,0,0,0,0,4,0,0,148,0,0,1,1,0,3,0,0,1,0,0,0,0,0,4,0,0,316,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,0,0,0,0,0,0,0,0,0,0,0,1
"F",4,7,0,0,0,1,0,0,131,0,0,3,12,0,5,7,0,1,0,0,0,0,0,4,0,1,286,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0
"F",5,1,0,0,0,2,0,0,104,0,0,1,1,0,19,0,3,1,1,0,0,0,0,13,0,26,98,0,2,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,4,0,0
