I.D code,Latitude,Longitude,Elevation,Date,Time
A2Z4CR3,-19.68126596,29.31371899,1337.369629,2024-04-20T07:24:22Z,
A2Z4CR4,-19.68099003,29.313749,1337.457764,2024-04-20T07:28:43Z,
A2Z4Q1,-19.68102699,29.31388001,1340.802734,2024-04-20T06:39:04Z,
A2Z4Q2,-19.68125196,29.313864,1337.828735,2024-04-20T07:18:40Z,
A2Z4Q3,-19.681258,29.31370801,1337.681763,2024-04-20T07:23:10Z,
A2Z4Q31,-19.68123998,29.31375403,1337.370605,2024-04-20T07:25:19Z,
A2Z4Q4,-19.68102196,29.31376501,1336.190308,2024-04-20T07:29:39Z,
A2Z4Q5,-19.68112397,29.31381597,1338.400513,2024-04-20T07:50:42Z,
A2ZCNT,-19.68099003,29.31391496,1340.692749,2024-04-20T06:31:46Z,
A3Z004,-19.68179603,29.31395897,1338.543701,2024-03-25T07:05:09Z,
A3Z11,-19.68154902,29.31403399,1336.934204,2024-03-25T06:43:58Z,
A3Z12,-19.68154801,29.31382603,1336.121826,2024-03-25T06:50:18Z,
A3Z1CR1,-19.68154097,29.31365998,1334.425903,2024-04-19T13:04:25Z,
A3Z1CR4,-19.68181397,29.31360399,1335.172607,2024-04-19T13:08:59Z,
A3Z1Q1,-19.68157198,29.31368697,1334.094238,2024-04-19T13:05:03Z,
A3Z1Q2,-19.68155597,29.313778,1334.003052,2024-04-19T13:00:46Z,
A3Z1Q3,-19.68176703,29.31378203,1335.765015,2024-04-19T12:37:36Z,
A3Z1Q4,-19.68178798,29.31365202,1334.587158,2024-04-19T13:09:39Z,
A3Z1Q5,-19.681676,29.31375001,1333.330566,2024-04-19T13:12:37Z,
A3Z21,-19.68155002,29.31365504,1336.952393,2024-03-25T06:53:44Z,
A3Z2CR3,-19.68206702,29.313533,1346.525024,2024-04-20T05:43:12Z,
A3Z2Q1,-19.68182302,29.31362403,1344.012573,2024-04-20T05:55:37Z,
A3Z2Q2,-19.681833,29.31373802,1336.209961,2024-04-19T12:40:28Z,
A3Z2Q4,-19.68205696,29.31359402,1345.670288,2024-04-20T05:44:05Z,
A3Z2Q5,-19.681949,29.31363903,1343.421997,2024-04-20T06:02:04Z,
A3Z30,-19.68182403,29.31358304,1338.598022,2024-03-25T06:57:30Z,
A3Z301,-19.68181103,29.31379301,1338.765869,2024-03-25T07:02:21Z,
A3Z3CR2,-19.68154399,29.31404002,1337.376343,2024-04-19T12:24:01Z,
A3Z3CR3,-19.68182101,29.31399602,1336.449463,2024-04-19T12:27:08Z,
A3Z3Q1,-19.68157601,29.31386199,1334.684326,2024-04-19T12:55:55Z,
A3Z3Q2,-19.68158799,29.31398101,1337.299683,2024-04-19T12:22:17Z,
A3Z3Q3,-19.68178103,29.31396903,1335.767212,2024-04-19T12:27:48Z,
A3Z3Q31,-19.68204699,29.31370902,1346.525635,2024-04-20T05:37:34Z,
A3Z3Q4,-19.68177198,29.31382201,1335.652832,2024-04-19T12:49:07Z,
A3Z3Q5,-19.68170098,29.31387104,1333.023071,2024-04-19T13:14:47Z,
A3Z40,-19.68208102,29.31392997,1339.793701,2024-03-25T07:09:12Z,
A3Z43,-19.68211203,29.31372897,1339.368408,2024-03-25T07:17:02Z,
A3Z44,-19.68207397,29.31353501,1340.092773,2024-03-25T07:22:52Z,
A3Z4CR3,-19.68210096,29.31390801,1347.699463,2024-04-20T05:27:58Z,
A3Z4CR4,-19.68208797,29.31372796,1347.433594,2024-04-20T05:32:56Z,
A3Z4Q1,-19.68184699,29.31381698,1335.956665,2024-04-19T12:45:30Z,
A3Z4Q2,-19.681862,29.31395603,1336.216309,2024-04-19T12:30:43Z,
A3Z4Q3,-19.68205302,29.31389099,1347.213257,2024-04-20T05:29:09Z,
A3Z4Q4,-19.68207104,29.31378102,1347.104004,2024-04-20T05:33:54Z,
A3Z4Q5,-19.681949,29.31382402,1345.178101,2024-04-20T05:50:39Z,
A3ZCNT,-19.68180098,29.31378999,1336.318604,2024-04-19T12:36:49Z,
A4Z11,-19.68157601,29.31338699,1343.868164,2024-03-25T08:11:30Z,
A4Z12,-19.68184104,29.31337802,1345.68811,2024-03-25T08:19:01Z,
A4Z1CR1,-19.68152102,29.31301902,1346.617188,2024-04-20T09:21:16Z,
A4Z1CR2,-19.68155002,29.31319303,1345.991821,2024-04-20T09:24:43Z,
A4Z1CR4,-19.68179201,29.31302296,1348.026489,2024-04-20T09:30:34Z,
A4Z1Q1,-19.68154902,29.31305104,1346.33667,2024-04-20T09:22:04Z,
A4Z1Q2,-19.68156796,29.31313997,1345.938599,2024-04-20T09:26:17Z,
A4Z1Q3,-19.68180399,29.31318004,1346.991089,2024-04-20T09:41:00Z,
A4Z1Q4,-19.68178103,29.31306898,1347.703491,2024-04-20T09:31:45Z,
A4Z1Q5,-19.68165798,29.31308499,1347.244385,2024-04-20T09:36:14Z,
A4Z21,-19.68206098,29.31303302,1347.609375,2024-03-25T08:49:06Z,
A4Z22,-19.68181699,29.31301801,1345.368408,2024-03-25T08:56:13Z,
A4Z2CR4,-19.68204296,29.31303302,1349.771973,2024-04-20T10:06:38Z,
A4Z2Q1,-19.68182998,29.313059,1348.658447,2024-04-20T10:11:03Z,
A4Z2Q2,-19.68187097,29.31316503,1348.907593,2024-04-20T09:43:33Z,
A4Z2Q3,-19.68201203,29.31319102,1349.554443,2024-04-20T10:04:30Z,
A4Z2Q4,-19.68200902,29.31307501,1349.647339,2024-04-20T10:07:21Z,
A4Z2Q5,-19.68192402,29.31313201,1348.910767,2024-04-20T10:08:17Z,
A4Z31,-19.68209803,29.31334399,1345.874634,2024-03-25T08:25:08Z,
A4Z3CR2,-19.68155597,29.31338103,1346.459473,2024-04-20T09:56:01Z,
A4Z3CR3,-19.68185403,29.31338497,1347.923218,2024-04-20T09:49:43Z,
A4Z3Q1,-19.68158204,29.31320703,1345.712402,2024-04-20T09:27:09Z,
A4Z3Q2,-19.68159101,29.31335798,1347.417847,2024-04-20T09:57:32Z,
A4Z3Q3,-19.68178597,29.31333804,1348.267944,2024-04-20T09:51:26Z,
A4Z3Q4,-19.68183702,29.31324097,1347.804443,2024-04-20T09:47:58Z,
A4Z3Q5,-19.68169302,29.31329596,1347.307983,2024-04-20T09:54:14Z,
A4Z42,-19.68151297,29.313016,1344.336304,2024-03-25T09:02:08Z,
A4Z4CR3,-19.68206802,29.31337802,1349.005127,2024-04-20T10:00:55Z,
A4Z4CR4,-19.68205101,29.31320401,1349.212158,2024-04-20T10:03:12Z,
A4Z4Q1,-19.681906,29.31324902,1348.403442,2024-04-20T09:45:43Z,
A4Z4Q2,-19.681848,29.313332,1348.437988,2024-04-20T09:52:05Z,
A4Z4Q3,-19.68202,29.31335899,1348.540527,2024-04-20T10:02:12Z,
A4Z4Q4,-19.68202201,29.31323402,1349.693115,2024-04-20T10:03:41Z,
A4Z4Q5,-19.68195202,29.31330702,1348.590576,2024-04-20T09:58:57Z,
A4ZCNT,-19.68185102,29.313231,1347.743164,2024-04-20T09:39:43Z,
A5Z0,-19.68267697,29.31468199,1345.9552,2024-03-25T10:36:10Z,
A5Z11,-19.68208303,29.31432702,1343.058716,2024-03-25T10:18:43Z,
A5Z1C3,-19.68235502,29.31450698,1343.020874,2024-04-18T08:30:31Z,
A5Z1CR1,-19.68205998,29.31433104,1339.867432,2024-04-18T08:16:24Z,
A5Z1CR2,-19.68207196,29.31450002,1340.403687,2024-04-18T08:04:49Z,
A5Z1CR4,-19.68233398,29.31430497,1341.228271,2024-04-18T08:22:22Z,
A5Z1Q1,-19.68210398,29.31434898,1340.372559,2024-04-18T08:19:50Z,
A5Z1Q2,-19.68209602,29.31446498,1339.897949,2024-04-18T08:08:54Z,
A5Z1Q3,-19.68229702,29.31449097,1342.774536,2024-04-18T08:36:27Z,
A5Z1Q4,-19.68230297,29.31434504,1341.61084,2024-04-18T08:23:34Z,
A5Z1Q5,-19.68220498,29.31443699,1343.873535,2024-04-18T08:44:00Z,
