"SubplotID","Total_Area_m2"
"SAP1Z1",549.691700246185
"SAP1Z2",590.94557816349
"SAP1Z3",539.474897406995
"SAP1Z4",634.044529434294
"SAP2Z1",560.521361637861
"SAP2Z2",168.095748148859
"SAP2Z3",638.74523358047
"SAP2Z4",660.542438283563
"SAP3Z1",51.2868648800068
"SAP3Z2",435.412549570436
"SAP3Z3",37.1555382534862
"SAP3Z4",615.566045891494
"SAP4Z1",589.151535218698
"SAP4Z2",499.2849582606
"SAP4Z3",501.364933677018
"SAP4Z4",413.116826534271
"SAP5Z1",692.079331476241
"SAP5Z2",464.380977440625
"SAP5Z3",381.080497888965
"SAP5Z4",464.380977440625
"SBP1Z2",234187.107169509
"SBP1Z3",783.330038804561
"SBP1Z4",709.163859651424
"SBP2Z1",589.171368226409
"SBP2Z2",522.314785543829
"SBP2Z3",763.201539035887
"SBP2Z4",675.66634093225
"SBP3Z1",590.486337915063
"SBP3Z2",655.554870150983
"SBP3Z3",542.273633634672
"SBP3Z4",589.576817676425
"SBP4Z1",481.988582964987
"SBP4Z2",485.785284799524
"SBP4Z4",542.273633634672
"SBP5Z1",597.308331549168
"SBP5Z2",584.424255715683
"SBP5Z3",630.41248421371
"SBP5Z4",591.966341949999
"SCP1Z1",39.4653369083535
"SCP1Z2",237.282909002155
"SCP1Z3",495.729778029025
"SCP1Z4",495.632901400328
"SCP2Z1",21.4966274816543
"SCP2Z2",501.83158267464
"SCP2Z3",461.987341575325
"SCP2Z4",741.897542293184
"SCP3Z1",869.800490677357
"SCP3Z2",273.036701561185
"SCP3Z3",123.824968704954
"SCP3Z4",280.436256969348
"SCP4Z1",593.253944419324
"SCP4Z2",622.196165241301
"SCP4Z3",533.856041263789
"SCP4Z4",503.323379562236
"SCP5Z1",261.649234268814
"SCP5Z2",108.332175392658
"SCP5Z3",263.544214038644
"SCP5Z4",880.875928137451
"SDP1Z1",610.78445006907
"SDP1Z2",720.302207767963
"SDP1Z3",633.627155879512
"SDP1Z4",730.301134930924
"SDP2Z1",1101.48670428246
"SDP2Z2",665.854833018035
"SDP2Z3",571.328414907679
"SDP2Z4",626.031131451949
"SDP3Z1",683.052979202941
"SDP3Z2",668.684538397938
"SDP3Z3",878.660638384521
"SDP3Z4",646.201494764537
"SDP4Z1",609.867677163333
"SDP4Z2",765.132657278329
"SDP4Z3",598.830326102674
"SDP4Z4",1167.08152756095
"SDP5Z1",629.549570824951
"SDP5Z2",680.218770634383
"SDP5Z3",532.358382061124
"SDP5Z4",686.187332585454
"SEP1Z1",623.772878376767
"SEP1Z2",624.413505717181
"SEP1Z3",553.314555198886
"SEP1Z4",575.078751218272
"SEP2Z1",385.797296024859
"SEP2Z2",300.559149254113
"SEP2Z3",755.267673745751
"SEP2Z4",811.823380177841
"SEP3Z1",742.155734777451
"SEP3Z2",657.260169293731
"SEP3Z3",659.346211649477
"SEP3Z4",679.098704162985
"SEP4Z1",352.742935369024
"SEP4Z2",640.462899960577
"SEP4Z3",323.296507897088
"SEP4Z4",764.685888439417
"SEP5Z1",643.013186872005
"SEP5Z2",985.769067324698
"SEP5Z3",636.611039016396
"SEP5Z4",561.231531773694
"SFP1Z1",88.4523639869876
"SFP1Z2",88.4523639869876
"SFP1Z3",612.601648502052
"SFP1Z4",452.543160200119
"SFP2Z1",674.77503258083
"SFP2Z2",748.392185361125
"SFP2Z3",568.863287631655
"SFP2Z4",736.933527877554
"SFP3Z1",507.948521628277
"SFP3Z2",555.243304535747
"SFP3Z3",531.683856034651
"SFP3Z4",535.574840490706
"SFP4Z1",624.442083294503
"SFP4Z2",539.676908183843
"SFP4Z3",632.815422886983
"SFP4Z4",579.961585200392
"SFP5Z1",94.6513335790951
"SFP5Z2",296.785174610326
"SFP5Z3",712.083394331392
"SFP5Z4",619.211434409954
