Site,A,B,C,D,E,F
A,0,0.75,0.7,0.62,0.6,0.64
B,0.75,0,0.72,0.58,0.61,0.59
C,0.7,0.72,0,0.58,0.64,0.68
D,0.62,0.58,0.58,0,0.63,0.67
E,0.6,0.61,0.64,0.63,0,0.61
F,0.64,0.59,0.68,0.67,0.61,0
