Year,Site,Plot,Subplot,Species_name,DPM_Height,Fencing,Treatment,Encroachment_level,Biomass
2024,A,1,Z4,NA,25.1,Unfenced,C,Moderate,4730
2024,A,2,Z1,Heteropogon contortus,21.7,Fenced,F,Moderate,3956
2024,A,2,Z1,Andropogon eucomus,18.7,Fenced,F,Moderate,3285
2024,A,2,Z1,Bothriochloa insculpta,15.9,Fenced,F,Moderate,2672
2024,A,2,Z1,NA,17.6,Fenced,F,Moderate,3043
2024,A,2,Z1,Bothriochloa insculpta,23.3,Fenced,F,Moderate,4319
2024,A,2,Z1,Aristida adscensionis,18.9,Fenced,F,Moderate,3330
2024,A,2,Z1,Cymbopogon excavatus,21.1,Fenced,F,Moderate,3821
2024,A,2,Z1,Loudetia simplex,22.4,Fenced,F,Moderate,4115
2024,A,2,Z1,Bothriochloa insculpta,29.3,Fenced,F,Moderate,5702
2024,A,2,Z1,Urochloa mosambicensis,32.5,Fenced,F,Moderate,6452
2024,A,2,Z1,Eragrostis gummiflua,32.4,Fenced,F,Moderate,6428
2024,A,2,Z1,NA,31.1,Fenced,F,Moderate,6123
2024,A,2,Z1,Loudetia simplex,14.6,Fenced,F,Moderate,2392
2024,A,2,Z1,Bothriochloa insculpta,14.2,Fenced,F,Moderate,2306
2024,A,2,Z1,Eragrostis gummiflua,15.3,Fenced,F,Moderate,2542
2024,A,2,Z1,Hyperrhenia filipendula,16.7,Fenced,F,Moderate,2846
2024,A,2,Z1,Bothriochloa insculpta,20.2,Fenced,F,Moderate,3619
2024,A,2,Z1,Hyperrhenia filipendula,22.4,Fenced,F,Moderate,4115
2024,A,2,Z1,Setaria pumila,23.3,Fenced,F,Moderate,4319
2024,A,2,Z1,NA,21.5,Fenced,F,Moderate,3911
2024,A,2,Z2,Heteropogon contortus,17.6,Fenced,F,Moderate,3043
2024,A,2,Z2,Bothriochloa insculpta,18.6,Fenced,F,Moderate,3263
2024,A,2,Z2,Loudetia simplex,17.2,Fenced,F,Moderate,2955
2024,A,2,Z2,Eragrostis gummiflua,19.4,Fenced,F,Moderate,3441
2024,A,2,Z2,Hyperrhenia filipendula,41.4,Fenced,F,Moderate,8571
2024,A,2,Z2,NA,41.4,Fenced,F,Moderate,8571
2024,A,2,Z2,NA,33.5,Fenced,F,Moderate,6688
2024,A,2,Z2,NA,25.5,Fenced,F,Moderate,4822
2024,A,2,Z2,Heteropogon contortus,23.3,Fenced,F,Moderate,4319
2024,A,2,Z2,Hyperrhenia filipendula,18.8,Fenced,F,Moderate,3307
2024,A,2,Z2,Urochloa mosambicensis,23.7,Fenced,F,Moderate,4410
2024,A,2,Z2,NA,27.4,Fenced,F,Moderate,5260
2024,A,2,Z2,Heteropogon contortus,14.1,Fenced,F,Moderate,2285
2024,A,2,Z2,Hyperrhenia filipendula,20.5,Fenced,F,Moderate,3686
2024,A,2,Z2,NA,15.5,Fenced,F,Moderate,2585
2024,A,2,Z2,NA,13.9,Fenced,F,Moderate,2243
2024,A,2,Z2,Hyperrhenia filipendula,11.8,Fenced,F,Moderate,1803
2024,A,2,Z2,Urochloa mosambicensis,17.9,Fenced,F,Moderate,3109
2024,A,2,Z2,NA,23.4,Fenced,F,Moderate,4342
2024,A,2,Z2,NA,22.1,Fenced,F,Moderate,4047
2024,A,2,Z3,Bothriochloa insculpta,21.1,Unfenced,F,Moderate,3821
2024,A,2,Z3,Eragrostis gummiflua,22.1,Unfenced,F,Moderate,4047
2024,A,2,Z3,Hyperrhenia filipendula,23.6,Unfenced,F,Moderate,4387
2024,A,2,Z3,NA,22.3,Unfenced,F,Moderate,4092
2024,A,2,Z3,Heteropogon contortus,13.7,Unfenced,F,Moderate,2200
2024,A,2,Z3,Bothriochloa insculpta,10.5,Unfenced,F,Moderate,1537
2024,A,2,Z3,NA,10.3,Unfenced,F,Moderate,1496
2024,A,2,Z3,NA,10.7,Unfenced,F,Moderate,1577
2024,A,2,Z3,Bothriochloa insculpta,29.3,Unfenced,F,Moderate,5702
2024,A,2,Z3,Eragrostis gummiflua,32.5,Unfenced,F,Moderate,6452
2024,A,2,Z3,Urochloa mosambicensis,32.4,Unfenced,F,Moderate,6428
2024,A,2,Z3,NA,31.1,Unfenced,F,Moderate,6123
2024,A,2,Z3,Bothriochloa insculpta,23.4,Unfenced,F,Moderate,4342
