,Year,Site,Plot,Subplot,Spp_name,Grazing_value,DPM_Height,Treatment,Fencing
85,2024,A,1,Z4,Hyperrhenia hirta,Moderate,26.2,C,Unfenced
86,2024,A,1,Z4,NA,NA,25.1,C,Unfenced
87,2024,A,2,Z1,Heteropogon contortus,Moderate,21.7,F,Fenced
88,2024,A,2,Z1,Andropogon eucomus,Low,18.7,F,Fenced
89,2024,A,2,Z1,Bothriochloa insculpta,Moderate,15.9,F,Fenced
90,2024,A,2,Z1,NA,NA,17.6,F,Fenced
91,2024,A,2,Z1,Bothriochloa insculpta,Moderate,23.3,F,Fenced
92,2024,A,2,Z1,Aristida adscensionis,Low,18.9,F,Fenced
93,2024,A,2,Z1,Cymbopogon excavatus,Low,21.1,F,Fenced
94,2024,A,2,Z1,Loudetia simplex,Moderate,22.4,F,Fenced
95,2024,A,2,Z1,Cymbopogon plurinodis,Low,NA,F,Fenced
96,2024,A,2,Z1,Bothriochloa insculpta,Moderate,29.3,F,Fenced
97,2024,A,2,Z1,Urochloa mosambicensis,Moderate,32.5,F,Fenced
98,2024,A,2,Z1,Eragrostis gummiflua,Low,32.4,F,Fenced
99,2024,A,2,Z1,NA,NA,31.1,F,Fenced
100,2024,A,2,Z1,Loudetia simplex,Moderate,14.6,F,Fenced
101,2024,A,2,Z1,Bothriochloa insculpta,Moderate,14.2,F,Fenced
102,2024,A,2,Z1,Eragrostis gummiflua,Low,15.3,F,Fenced
103,2024,A,2,Z1,Hyperrhenia filipendula,Moderate,16.7,F,Fenced
104,2024,A,2,Z1,Bothriochloa insculpta,Moderate,20.2,F,Fenced
105,2024,A,2,Z1,Hyperrhenia filipendula,Moderate,22.4,F,Fenced
106,2024,A,2,Z1,Setaria pumila ,Moderate,23.3,F,Fenced
107,2024,A,2,Z1,NA,NA,21.5,F,Fenced
108,2024,A,2,Z2,Heteropogon contortus,Moderate,17.6,F,Fenced
109,2024,A,2,Z2,Bothriochloa insculpta,Moderate,18.6,F,Fenced
110,2024,A,2,Z2,Loudetia simplex,Moderate,17.2,F,Fenced
111,2024,A,2,Z2,Eragrostis gummiflua,Low,19.4,F,Fenced
112,2024,A,2,Z2,Hyperrhenia filipendula,Moderate,NA,F,Fenced
113,2024,A,2,Z2,Hyperrhenia filipendula,Moderate,41.4,F,Fenced
114,2024,A,2,Z2,NA,NA,41.4,F,Fenced
115,2024,A,2,Z2,NA,NA,33.5,F,Fenced
116,2024,A,2,Z2,NA,NA,25.5,F,Fenced
117,2024,A,2,Z2,Heteropogon contortus,Moderate,23.3,F,Fenced
118,2024,A,2,Z2,Hyperrhenia filipendula,Moderate,18.8,F,Fenced
119,2024,A,2,Z2,Urochloa mosambicensis,Moderate,23.7,F,Fenced
120,2024,A,2,Z2,NA,NA,27.4,F,Fenced
121,2024,A,2,Z2,Heteropogon contortus,Moderate,14.1,F,Fenced
122,2024,A,2,Z2,Hyperrhenia filipendula,Moderate,20.5,F,Fenced
123,2024,A,2,Z2,NA,NA,15.5,F,Fenced
124,2024,A,2,Z2,NA,NA,13.9,F,Fenced
125,2024,A,2,Z2,Hyperrhenia filipendula,Moderate,11.8,F,Fenced
126,2024,A,2,Z2,Urochloa mosambicensis,Moderate,17.9,F,Fenced
127,2024,A,2,Z2,NA,NA,23.4,F,Fenced
128,2024,A,2,Z2,NA,NA,22.1,F,Fenced
129,2024,A,2,Z3,Bothriochloa insculpta,Moderate,21.1,F,Unfenced
130,2024,A,2,Z3,Eragrostis gummiflua,Low,22.1,F,Unfenced
131,2024,A,2,Z3,Hyperrhenia filipendula,Moderate,23.6,F,Unfenced
132,2024,A,2,Z3,NA,NA,22.3,F,Unfenced
133,2024,A,2,Z3,Heteropogon contortus,Moderate,13.7,F,Unfenced
134,2024,A,2,Z3,Bothriochloa insculpta,Moderate,10.5,F,Unfenced
135,2024,A,2,Z3,NA,NA,10.3,F,Unfenced
136,2024,A,2,Z3,NA,NA,10.7,F,Unfenced
137,2024,A,2,Z3,Bothriochloa insculpta,Moderate,29.3,F,Unfenced
138,2024,A,2,Z3,Eragrostis gummiflua,Low,32.5,F,Unfenced
139,2024,A,2,Z3,Urochloa mosambicensis,Moderate,32.4,F,Unfenced
140,2024,A,2,Z3,NA,NA,31.1,F,Unfenced
141,2024,A,2,Z3,Bothriochloa insculpta,Moderate,23.4,F,Unfenced
142,2024,A,2,Z3,Urochloa mosambicensis,Moderate,23.8,F,Unfenced
143,2024,A,2,Z3,Heteropogon contortus,Moderate,22.7,F,Unfenced
144,2024,A,2,Z3,NA,NA,23.7,F,Unfenced
145,2024,A,2,Z3,Eragrostis gummiflua,Low,10.2,F,Unfenced
146,2024,A,2,Z3,Bothriochloa insculpta,Moderate,13.9,F,Unfenced
147,2024,A,2,Z3,Cymbopogon excavatus,Low,11,F,Unfenced
148,2024,A,2,Z3,Eragrostis superba,Moderate,10.9,F,Unfenced
149,2024,A,2,Z4,Aristida adscensionis,Low,12.5,F,Unfenced
150,2024,A,2,Z4,Hyperrhenia filipendula,Moderate,12.3,F,Unfenced
151,2024,A,2,Z4,Setaria pumila ,Moderate,17,F,Unfenced
152,2024,A,2,Z4,NA,NA,16.3,F,Unfenced
153,2024,A,2,Z4,Hyperrhenia filipendula,Moderate,17.2,F,Unfenced
154,2024,A,2,Z4,Urochloa mosambicensis,Moderate,9.6,F,Unfenced
155,2024,A,2,Z4,NA,NA,27.7,F,Unfenced
156,2024,A,2,Z4,NA,NA,34.9,F,Unfenced
157,2024,A,2,Z4,Heteropogon contortus,Moderate,13.1,F,Unfenced
158,2024,A,2,Z4,Cymbopogon excavatus,Low,16.9,F,Unfenced
159,2024,A,2,Z4,Urochloa mosambicensis,Moderate,18.2,F,Unfenced
160,2024,A,2,Z4,Hyperrhenia filipendula,Moderate,21.2,F,Unfenced
161,2024,A,2,Z4,Urochloa mosambicensis,Moderate,39.1,F,Unfenced
162,2024,A,2,Z4,Hyperrhenia filipendula,Moderate,43,F,Unfenced
163,2024,A,2,Z4,NA,NA,34.6,F,Unfenced
164,2024,A,2,Z4,NA,NA,30.8,F,Unfenced
165,2024,A,2,Z4,Urochloa mosambicensis,Moderate,29,F,Unfenced
166,2024,A,2,Z4,Hyperrhenia filipendula,Moderate,31.6,F,Unfenced
167,2024,A,2,Z4,NA,NA,32.6,F,Unfenced
168,2024,A,2,Z4,NA,NA,33.3,F,Unfenced
169,2024,A,3,Z1,Aristida diffusa,Low,38,TFB,Fenced
170,2024,A,3,Z1,Aristida congesta C,Low,29.8,TFB,Fenced
171,2024,A,3,Z1,Melinis repens,Low,22,TFB,Fenced
172,2024,A,3,Z1,Urochloa mosambicensis,Moderate,23.9,TFB,Fenced
173,2024,A,3,Z1,Hyperrhenia filipendula,Moderate,11.8,TFB,Fenced
174,2024,A,3,Z1,NA,NA,17.1,TFB,Fenced
175,2024,A,3,Z1,NA,NA,15.3,TFB,Fenced
176,2024,A,3,Z1,NA,NA,15.7,TFB,Fenced
177,2024,A,3,Z1,Bothriochloa insculpta,Moderate,15.4,TFB,Fenced
178,2024,A,3,Z1,Urochloa mosambicensis,Moderate,16.8,TFB,Fenced
179,2024,A,3,Z1,Cymbopogon excavatus,Low,16.7,TFB,Fenced
180,2024,A,3,Z1,NA,NA,16.7,TFB,Fenced
181,2024,A,3,Z1,Hyperrhenia filipendula,Moderate,21.9,TFB,Fenced
182,2024,A,3,Z1,Bothriochloa insculpta,Moderate,21.8,TFB,Fenced
183,2024,A,3,Z1,Urochloa mosambicensis,Moderate,20.9,TFB,Fenced
184,2024,A,3,Z1,NA,NA,18.4,TFB,Fenced
185,2024,A,3,Z1,Urochloa mosambicensis,Moderate,17.6,TFB,Fenced
186,2024,A,3,Z1,Hyperrhenia filipendula,Moderate,15.9,TFB,Fenced
187,2024,A,3,Z1,Heteropogon contortus,Moderate,15.3,TFB,Fenced
188,2024,A,3,Z1,Aristida adscensionis,Low,15.4,TFB,Fenced
189,2024,A,3,Z2,Urochloa mosambicensis,Moderate,31.7,TFB,Unfenced
190,2024,A,3,Z2,Loudetia simplex,Low,31.7,TFB,Unfenced
191,2024,A,3,Z2,Bothriochloa insculpta,Moderate,28.7,TFB,Unfenced
192,2024,A,3,Z2,NA,NA,25.3,TFB,Unfenced
193,2024,A,3,Z2,Bothriochloa insculpta,Moderate,3.6,TFB,Unfenced
194,2024,A,3,Z2,Cymbopogon excavatus,Low,11.2,TFB,Unfenced
195,2024,A,3,Z2,Aristida adscensionis,Low,12.5,TFB,Unfenced
196,2024,A,3,Z2,NA,NA,12.7,TFB,Unfenced
197,2024,A,3,Z2,Bothriochloa insculpta,Moderate,51.3,TFB,Unfenced
198,2024,A,3,Z2,Hyperrhenia hirta,Moderate,36,TFB,Unfenced
199,2024,A,3,Z2,NA,NA,43.7,TFB,Unfenced
200,2024,A,3,Z2,NA,NA,46.1,TFB,Unfenced
201,2024,A,3,Z2,Bothriochloa insculpta,Moderate,5.9,TFB,Unfenced
202,2024,A,3,Z2,Hyperrhenia hirta,Moderate,8.7,TFB,Unfenced
203,2024,A,3,Z2,Digitaria eriantha,High,12.6,TFB,Unfenced
204,2024,A,3,Z2,Eragrostis gummiflua,Low,12.7,TFB,Unfenced
205,2024,A,3,Z2,Urochloa mosambicensis,Moderate,11.8,TFB,Unfenced
206,2024,A,3,Z2,Bothriochloa insculpta,Moderate,15.7,TFB,Unfenced
207,2024,A,3,Z2,Eragrostis gummiflua,Low,18.6,TFB,Unfenced
208,2024,A,3,Z2,NA,NA,20.6,TFB,Unfenced
209,2024,A,3,Z3,Heteropogon contortus,Moderate,10.7,TFB,Fenced
210,2024,A,3,Z3,Aristida adscensionis,Low,16.9,TFB,Fenced
211,2024,A,3,Z3,Melinis repens,Low,13.6,TFB,Fenced
212,2024,A,3,Z3,Eragrostis rigidior,Moderate,13.5,TFB,Fenced
213,2024,A,3,Z3,Cynodon dactylon,High,31.8,TFB,Fenced
214,2024,A,3,Z3,Urochloa mosambicensis,Moderate,29,TFB,Fenced
215,2024,A,3,Z3,Setaria pumila ,Moderate,26.4,TFB,Fenced
216,2024,A,3,Z3,NA,NA,25.9,TFB,Fenced
217,2024,A,3,Z3,Heteropogon contortus,Moderate,26.8,TFB,Fenced
218,2024,A,3,Z3,Aristida adscensionis,Low,19.2,TFB,Fenced
219,2024,A,3,Z3,Urochloa mosambicensis,Moderate,17.8,TFB,Fenced
220,2024,A,3,Z3,Cymbopogon excavatus,Low,16.9,TFB,Fenced
221,2024,A,3,Z3,Digitaria eriantha,High,NA,TFB,Fenced
222,2024,A,3,Z3,Aristida adscensionis,Low,6.8,TFB,Fenced
223,2024,A,3,Z3,Urochloa mosambicensis,Moderate,11.5,TFB,Fenced
224,2024,A,3,Z3,Hyperrhenia filipendula,Moderate,17.8,TFB,Fenced
225,2024,A,3,Z3,Setaria incrassata,High,14.2,TFB,Fenced
226,2024,A,3,Z3,Eragrostis superba,Moderate,NA,TFB,Fenced
227,2024,A,3,Z3,Urochloa mosambicensis,Moderate,31.7,TFB,Fenced
228,2024,A,3,Z3,Hyperrhenia filipendula,Moderate,19.9,TFB,Fenced
229,2024,A,3,Z3,Hyperrhenia hirta,Moderate,18.7,TFB,Fenced
230,2024,A,3,Z3,Pogonarthria squarrosa,Low,18.5,TFB,Fenced
231,2024,A,3,Z4,Heteropogon contortus,Moderate,14.9,TFB,Unfenced
232,2024,A,3,Z4,Aristida adscensionis,Low,17.3,TFB,Unfenced
233,2024,A,3,Z4,NA,NA,19.4,TFB,Unfenced
234,2024,A,3,Z4,NA,NA,16.1,TFB,Unfenced
235,2024,A,3,Z4,Heteropogon contortus,Moderate,8.5,TFB,Unfenced
236,2024,A,3,Z4,Melinis repens,Low,9.7,TFB,Unfenced
237,2024,A,3,Z4,Digitaria eriantha,High,11.6,TFB,Unfenced
238,2024,A,3,Z4,Setaria incrassata,High,10.6,TFB,Unfenced
239,2024,A,3,Z4,Heteropogon contortus,Moderate,6,TFB,Unfenced
240,2024,A,3,Z4,Urochloa mosambicensis,Moderate,10.9,TFB,Unfenced
241,2024,A,3,Z4,Themeda triandra,High,11.4,TFB,Unfenced
242,2024,A,3,Z4,NA,NA,13.2,TFB,Unfenced
243,2024,A,3,Z4,Urochloa mosambicensis,Moderate,42.7,TFB,Unfenced
244,2024,A,3,Z4,Melinis repens,Low,41.3,TFB,Unfenced
245,2024,A,3,Z4,Cymbopogon excavatus,Low,37.6,TFB,Unfenced
246,2024,A,3,Z4,NA,NA,36.9,TFB,Unfenced
247,2024,A,3,Z4,Heteropogon contortus,Moderate,6.4,TFB,Unfenced
248,2024,A,3,Z4,Aristida adscensionis,Low,18,TFB,Unfenced
249,2024,A,3,Z4,Urochloa mosambicensis,Moderate,21,TFB,Unfenced
250,2024,A,3,Z4,Hyperrhenia filipendula,Moderate,23.8,TFB,Unfenced
251,2024,A,3,Z4,Pogonarthria squarrosa,Low,NA,TFB,Unfenced
252,2024,A,4,Z1,Bothriochloa insculpta,Moderate,19.7,TF,Fenced
253,2024,A,4,Z1,NA,NA,22.4,TF,Fenced
254,2024,A,4,Z1,NA,NA,22.6,TF,Fenced
255,2024,A,4,Z1,NA,NA,25,TF,Fenced
256,2024,A,4,Z1,Brachiaria serrata,Moderate,21,TF,Fenced
257,2024,A,4,Z1,Eragrostis gummiflua,Low,20.5,TF,Fenced
258,2024,A,4,Z1,Bothriochloa insculpta,Moderate,20.4,TF,Fenced
259,2024,A,4,Z1,NA,NA,20.5,TF,Fenced
260,2024,A,4,Z1,Heteropogon contortus,Moderate,22.5,TF,Fenced
261,2024,A,4,Z1,Themeda triandra,High,22.5,TF,Fenced
262,2024,A,4,Z1,NA,NA,22.5,TF,Fenced
263,2024,A,4,Z1,NA,NA,22.5,TF,Fenced
264,2024,A,4,Z1,Bothriochloa insculpta,Moderate,24.1,TF,Fenced
265,2024,A,4,Z1,Cymbopogon excavatus,Low,32,TF,Fenced
266,2024,A,4,Z1,NA,NA,34.3,TF,Fenced
267,2024,A,4,Z1,NA,NA,32.5,TF,Fenced
268,2024,A,4,Z1,Bothriochloa insculpta,Moderate,35.6,TF,Fenced
269,2024,A,4,Z1,Urochloa mosambicensis,Moderate,27.9,TF,Fenced
270,2024,A,4,Z1,NA,NA,33.3,TF,Fenced
271,2024,A,4,Z1,NA,NA,37,TF,Fenced
272,2024,A,4,Z2,Bothriochloa insculpta,Moderate,20.5,TF,Unfenced
273,2024,A,4,Z2,Digitaria eriantha,High,21.7,TF,Unfenced
274,2024,A,4,Z2,NA,NA,22,TF,Unfenced
275,2024,A,4,Z1,NA,NA,21.4,TF,Fenced
276,2024,A,4,Z2,Aristida adscensionis,Low,18.7,TF,Unfenced
277,2024,A,4,Z2,Cymbopogon excavatus,Low,19.2,TF,Unfenced
278,2024,A,4,Z2,Heteropogon contortus,Moderate,18.9,TF,Unfenced
279,2024,A,4,Z2,Digitaria eriantha,High,18.5,TF,Unfenced
280,2024,A,4,Z2,Aristida adscensionis,Low,20.5,TF,Unfenced
281,2024,A,4,Z2,Heteropogon contortus,Moderate,20.7,TF,Unfenced
282,2024,A,4,Z2,NA,NA,20.5,TF,Unfenced
283,2024,A,4,Z2,NA,NA,21.4,TF,Unfenced
284,2024,A,4,Z2,Cymbopogon excavatus,Low,36.4,TF,Unfenced
285,2024,A,4,Z2,Heteropogon contortus,Moderate,36.6,TF,Unfenced
286,2024,A,4,Z2,Andropogon eucomus,Low,32.1,TF,Unfenced
287,2024,A,4,Z2,NA,NA,30.6,TF,Unfenced
288,2024,A,4,Z2,Aristida adscensionis,Low,23,TF,Unfenced
289,2024,A,4,Z2,Themeda triandra,High,23.1,TF,Unfenced
290,2024,A,4,Z2,NA,NA,21.7,TF,Unfenced
291,2024,A,4,Z2,NA,NA,21.1,TF,Unfenced
292,2024,A,4,Z3,Loudetia simplex,Low,20.2,TF,Fenced
293,2024,A,4,Z3,Bothriochloa insculpta,Moderate,20.1,TF,Fenced
294,2024,A,4,Z3,NA,NA,20.1,TF,Fenced
295,2024,A,4,Z3,NA,NA,20.4,TF,Fenced
296,2024,A,4,Z3,Bothriochloa insculpta,Moderate,20.2,TF,Fenced
297,2024,A,4,Z3,Aristida adscensionis,Low,20.3,TF,Fenced
298,2024,A,4,Z3,NA,NA,20.6,TF,Fenced
299,2024,A,4,Z3,NA,NA,20,TF,Fenced
300,2024,A,4,Z3,Bothriochloa insculpta,Moderate,12.7,TF,Fenced
301,2024,A,4,Z3,Andropogon eucomus,Low,17.2,TF,Fenced
302,2024,A,4,Z3,NA,NA,16.1,TF,Fenced
303,2024,A,4,Z3,NA,NA,17.3,TF,Fenced
304,2024,A,4,Z3,Urochloa mosambicensis,Moderate,3.7,TF,Fenced
305,2024,A,4,Z3,Digitaria eriantha,High,9.5,TF,Fenced
306,2024,A,4,Z3,Andropogon eucomus,Low,13,TF,Fenced
307,2024,A,4,Z3,Bothriochloa insculpta,Moderate,11.4,TF,Fenced
308,2024,A,4,Z3,Bothriochloa insculpta,Moderate,19.6,TF,Fenced
309,2024,A,4,Z3,Aristida adscensionis,Low,20,TF,Fenced
310,2024,A,4,Z3,NA,NA,20.1,TF,Fenced
311,2024,A,4,Z3,NA,NA,20.1,TF,Fenced
312,2024,A,4,Z4,Bothriochloa insculpta,Moderate,18.3,TF,Unfenced
313,2024,A,4,Z4,Heteropogon contortus,Moderate,18.9,TF,Unfenced
314,2024,A,4,Z4,Melinis repens,Low,19,TF,Unfenced
315,2024,A,4,Z4,NA,NA,18.9,TF,Unfenced
316,2024,A,4,Z4,Andropogon eucomus,Low,17.9,TF,Unfenced
317,2024,A,4,Z4,Urochloa mosambicensis,Moderate,19.1,TF,Unfenced
318,2024,A,4,Z4,Cymbopogon excavatus,Low,19.4,TF,Unfenced
319,2024,A,4,Z4,NA,NA,19.4,TF,Unfenced
320,2024,A,4,Z4,Heteropogon contortus,Moderate,23,TF,Unfenced
321,2024,A,4,Z4,Themeda triandra,High,22.2,TF,Unfenced
322,2024,A,4,Z4,Eragrostis superba,Moderate,21.3,TF,Unfenced
323,2024,A,4,Z4,NA,NA,20.8,TF,Unfenced
324,2024,A,4,Z4,Bothriochloa insculpta,Moderate,19.9,TF,Unfenced
325,2024,A,4,Z4,Heteropogon contortus,Moderate,19.9,TF,Unfenced
326,2024,A,4,Z4,Digitaria eriantha,High,19.5,TF,Unfenced
327,2024,A,4,Z4,NA,NA,19.2,TF,Unfenced
328,2024,A,4,Z4,Heteropogon contortus,Moderate,25.7,TF,Unfenced
329,2024,A,4,Z4,Themeda triandra,High,17.1,TF,Unfenced
330,2024,A,4,Z4,Eragrostis superba,Moderate,17.8,TF,Unfenced
331,2024,A,4,Z4,Digitaria eriantha,High,22.1,TF,Unfenced
332,2024,A,5,Z1,Hyperrhenia hirta,Moderate,12.1,THF,Fenced
333,2024,A,5,Z1,Urochloa mosambicensis,Moderate,13.8,THF,Fenced
334,2024,A,5,Z1,Hyperrhenia filipendula,Moderate,13.7,THF,Fenced
335,2024,A,5,Z1,Bothriochloa insculpta,Moderate,14.2,THF,Fenced
336,2024,A,5,Z1,Heteropogon contortus,Moderate,NA,THF,Fenced
337,2024,A,5,Z1,Aristida adscensionis,Low,NA,THF,Fenced
338,2024,A,5,Z1,Urochloa mosambicensis,Moderate,25.6,THF,Fenced
339,2024,A,5,Z1,Aristida adscensionis,Low,20.8,THF,Fenced
340,2024,A,5,Z1,NA,NA,22.3,THF,Fenced
341,2024,A,5,Z1,NA,NA,22.7,THF,Fenced
342,2024,A,5,Z1,Cymbopogon excavatus,Low,28.2,THF,Fenced
343,2024,A,5,Z1,Bothriochloa insculpta,Moderate,28.8,THF,Fenced
344,2024,A,5,Z1,Urochloa mosambicensis,Moderate,31.2,THF,Fenced
345,2024,A,5,Z1,NA,NA,28.8,THF,Fenced
346,2024,A,5,Z1,Hyperrhenia hirta,Moderate,21,THF,Fenced
347,2024,A,5,Z1,Heteropogon contortus,Moderate,17.1,THF,Fenced
348,2024,A,5,Z1,Urochloa mosambicensis,Moderate,21.7,THF,Fenced
349,2024,A,5,Z1,NA,NA,23,THF,Fenced
350,2024,A,5,Z1,Urochloa mosambicensis,Moderate,17.1,THF,Fenced
351,2024,A,5,Z1,Hyperrhenia filipendula,Moderate,14.7,THF,Fenced
352,2024,A,5,Z1,Bothriochloa insculpta,Moderate,21.1,THF,Fenced
353,2024,A,5,Z1,NA,NA,21.4,THF,Fenced
354,2024,A,5,Z2,Urochloa mosambicensis,Moderate,22.6,THF,Unfenced
