Year,Site,Plot,Subplot,Fencing,Encroachment_level,Treatment,Species_name,Max_height(m),No_of_resprouts ,Length_of_ longest_ resprout_(cm),Mode_of_resprouting ,Stem_diameter_(cm),Woody_class,Dead (m),BD,BD_Height,Comment
2024,A,1,Z1,Fenced,Moderate,C,Combretum hereroense,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum hereroense,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum hereroense,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum hereroense,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum hereroense,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum hereroense,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum hereroense,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum imberbe,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum imberbe,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum imberbe,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum imberbe,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum imberbe,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum imberbe,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum imberbe,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum imberbe,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum imberbe,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Combretum imberbe,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Dichrostachys cinerea,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
