Date,Site,Plot,Subplot,Quadrat,Spp_name,Number,Grazing_value,DPM Height,KgDM,Grazing activity,Quadrat under canopy,Biomass intensity,Dung presence,Longest_grass(m),Fencing,Treatment,
08/04/2025,F,5,Z1,1,Setaria incressata,1,,8.9,1746,,,,,,Fenced,THF,
08/04/2025,F,5,Z1,1,Dactyloctenium giganteum,5,,,,,,,,,Fenced,THF,
08/04/2025,F,5,Z1,2,Eragrostis rigidior,4,,4.9,1186,N,N,7,N,,Fenced,THF,
08/04/2025,F,5,Z1,2,Eragrostis gummiflua,2,,4.7,1158,,,,,,Fenced,THF,
08/04/2025,F,5,Z1,2,Setaria incressata,1,,5.2,1228,,,,,,Fenced,THF,
08/04/2025,F,5,Z1,2,Cynodon dactylon,4,,5.3,1242,,,,,,Fenced,THF,
08/04/2025,F,5,Z1,2,Digitaria erianthra,4,,,,,,,,,Fenced,THF,
08/04/2025,F,5,Z1,2,Dactyloctenium giganteum,1,,,,,,,,,Fenced,THF,
08/04/2025,F,5,Z1,3,Eragrostis rigidior,3,,7,1480,N,N,5,N,,Fenced,THF,
08/04/2025,F,5,Z1,3,Setaria incressata,5,,6.7,1438,,,,,,Fenced,THF,
08/04/2025,F,5,Z1,3,Cynodon dactylon,2,,6.9,1466,,,,,,Fenced,THF,
08/04/2025,F,5,Z1,3,Digitaria erianthra,4,,7.2,1508,,,,,,Fenced,THF,
08/04/2025,F,5,Z1,4,Cynodon dactylon,16,,5.6,1284,Y,N,7,N,,Fenced,THF,
08/04/2025,F,5,Z1,4,Digitaria erianthra,2,,5,1200,,,,,,Fenced,THF,
08/04/2025,F,5,Z1,4,,,,6.7,1438,,,,,,Fenced,THF,
08/04/2025,F,5,Z1,4,,,,7.2,1508,,,,,,Fenced,THF,
08/04/2025,F,5,Z1,5,Cynodon dactylon,8,,6.9,1466,N,N,7.5,N,,Fenced,THF,
08/04/2025,F,5,Z1,5,Digitaria erianthra,13,,7,1480,,,,,,Fenced,THF,
08/04/2025,F,5,Z1,5,Setaria incressata,3,,7.1,1494,,,,,,Fenced,THF,
08/04/2025,F,5,Z1,5,,,,7.2,1508,,,,,,Fenced,THF,
08/04/2025,F,5,Z3,3,Setaria incressata,4,,8,1606,N,N,3,N,,Unfenced,THF,
08/04/2025,F,5,Z3,3,Enteropogon macrostachyus,1,,8.3,1662,,,,,,Unfenced,THF,
08/04/2025,F,5,Z3,3,Cynodon dactylon,2,,8,1606,,,,,,Unfenced,THF,
08/04/2025,F,5,Z3,3,,,,7.7,1578,,,,,,Unfenced,THF,
08/04/2025,F,5,Z3,4,Cynodon dactylon,3,,6.7,1438,N,N,5,N,,Unfenced,THF,
08/04/2025,F,5,Z3,4,Digitaria erianthra,12,,5.6,1284,,,,,,Unfenced,THF,
08/04/2025,F,5,Z3,4,Setaria incressata,2,,5.5,1270,,,,,,Unfenced,THF,
08/04/2025,F,5,Z3,4,Chloris virgata,1,,5.9,1326,,,,,,Unfenced,THF,
08/04/2025,F,5,Z3,5,Cynodon dactylon,27,,10.5,1970,N,N,8,N,,Unfenced,THF,
08/04/2025,F,5,Z3,5,Eragrostis rigidior,1,,9.6,1844,,,,,,Unfenced,THF,
08/04/2025,F,5,Z3,5,Digitaria erianthra,1,,9,1760,,,,,,Unfenced,THF,
08/04/2025,F,5,Z3,5,,,,10.2,1928,,,,,,Unfenced,THF,
08/04/2025,F,5,Z3,1,Digitaria erianthra,4,,9.3,1802,N,N,8,N,,Unfenced,THF,
08/04/2025,F,5,Z3,1,Cynodon dactylon,13,,9.4,1016,,,,,,Unfenced,THF,
08/04/2025,F,5,Z3,1,Eragrostis rigidior,1,,9,1760,,,,,,Unfenced,THF,
08/04/2025,F,5,Z3,1,,,,8.4,1676,,,,,,Unfenced,THF,
08/04/2025,F,5,Z3,2,Cynodon dactylon,12,,11.3,2082,N,N,8.5,N,,Unfenced,THF,
08/04/2025,F,5,Z3,2,Digitaria erianthra,4,,17,2880,,,,,,Unfenced,THF,
08/04/2025,F,5,Z3,2,Setaria incressata,3,,17.5,2950,,,,,,Unfenced,THF,
08/04/2025,F,5,Z3,2,,,,17.5,2950,,,,,,Unfenced,THF,
08/04/2025,F,5,Z4,2,Digitaria erianthra,12,,13.1,2334,N,Y,7,N,,Unfenced,THF,
08/04/2025,F,5,Z4,2,Cynodon dactylon,6,,12.6,2124,,,,,,Unfenced,THF,
08/04/2025,F,5,Z4,2,Setaria incressata,1,,12.4,2236,,,,,,Unfenced,THF,
08/04/2025,F,5,Z4,2,,,,13.9,2446,,,,,,Unfenced,THF,
08/04/2025,F,5,Z4,1,Digitaria erianthra,5,,7,1480,N,N,6,N,,Unfenced,THF,
08/04/2025,F,5,Z4,1,Eragrostis rigidior,1,,5.7,1296,,,,,,Unfenced,THF,
08/04/2025,F,5,Z4,1,Cynodon dactylon,7,,4.8,1172,,,,,,Unfenced,THF,
08/04/2025,F,5,Z4,1,,,,4.4,1116,,,,,,Unfenced,THF,
08/04/2025,F,5,Z4,3,Setaria incressata,11,,10.3,1942,N,N,5,N,,Unfenced,THF,
08/04/2025,F,5,Z4,3,Eragrostis rigidior,2,,9.8,1872,,,,,,Unfenced,THF,
08/04/2025,F,5,Z4,3,Cynodon dactylon,5,,9.5,1830,,,,,,Unfenced,THF,
08/04/2025,F,5,Z4,3,,,,11.2,2068,,,,,,Unfenced,THF,
08/04/2025,F,5,Z4,4,Cynodon dactylon,3,,4.4,1116,N,Y,2,N,,Unfenced,THF,
08/04/2025,F,5,Z4,4,Digitaria erianthra,6,,4.7,1158,,,,,,Unfenced,THF,
08/04/2025,F,5,Z4,4,,,,4.8,1172,,,,,,Unfenced,THF,
08/04/2025,F,5,Z4,4,,,,4.6,1144,,,,,,Unfenced,THF,
