Year,Site,Plot,Subplot,Species_name,DPM_Height,Fencing,Treatment
2024,A,2,Z1,Bothriochloa insculpta,14.2,Fenced,F
2024,A,2,Z1,Eragrostis gummiflua,15.3,Fenced,F
2024,A,2,Z1,Hyperrhenia filipendula,16.7,Fenced,F
2024,A,2,Z1,Bothriochloa insculpta,20.2,Fenced,F
2024,A,2,Z1,Hyperrhenia filipendula,22.4,Fenced,F
2024,A,2,Z1,Setaria pumila,23.3,Fenced,F
2024,A,2,Z1,NA,21.5,Fenced,F
2024,A,2,Z2,Heteropogon contortus,17.6,Fenced,F
2024,A,2,Z2,Bothriochloa insculpta,18.6,Fenced,F
2024,A,2,Z2,Loudetia simplex,17.2,Fenced,F
2024,A,2,Z2,Eragrostis gummiflua,19.4,Fenced,F
2024,A,2,Z2,Hyperrhenia filipendula,NA,Fenced,F
2024,A,2,Z2,Hyperrhenia filipendula,41.4,Fenced,F
2024,A,2,Z2,NA,41.4,Fenced,F
2024,A,2,Z2,NA,33.5,Fenced,F
2024,A,2,Z2,NA,25.5,Fenced,F
2024,A,2,Z2,Heteropogon contortus,23.3,Fenced,F
2024,A,2,Z2,Hyperrhenia filipendula,18.8,Fenced,F
2024,A,2,Z2,Urochloa mosambicensis,23.7,Fenced,F
2024,A,2,Z2,NA,27.4,Fenced,F
2024,A,2,Z2,Heteropogon contortus,14.1,Fenced,F
2024,A,2,Z2,Hyperrhenia filipendula,20.5,Fenced,F
2024,A,2,Z2,NA,15.5,Fenced,F
2024,A,2,Z2,NA,13.9,Fenced,F
2024,A,2,Z2,Hyperrhenia filipendula,11.8,Fenced,F
2024,A,2,Z2,Urochloa mosambicensis,17.9,Fenced,F
2024,A,2,Z2,NA,23.4,Fenced,F
2024,A,2,Z2,NA,22.1,Fenced,F
2024,A,2,Z3,Bothriochloa insculpta,21.1,Unfenced,F
2024,A,2,Z3,Eragrostis gummiflua,22.1,Unfenced,F
2024,A,2,Z3,Hyperrhenia filipendula,23.6,Unfenced,F
2024,A,2,Z3,NA,22.3,Unfenced,F
2024,A,2,Z3,Heteropogon contortus,13.7,Unfenced,F
2024,A,2,Z3,Bothriochloa insculpta,10.5,Unfenced,F
2024,A,2,Z3,NA,10.3,Unfenced,F
2024,A,2,Z3,NA,10.7,Unfenced,F
2024,A,2,Z3,Bothriochloa insculpta,29.3,Unfenced,F
