Year,Dpm,Biomass
2024,20.8,3240
2024,18.1,2902
2024,23.3,3552
2024,24.5,3752
2024,35.3,5052
2024,24.2,3665
2024,19,3015
2024,23.6,3590
2024,18.8,2990
2024,15.6,2590
2024,18.3,2927
2024,18.6,2965
2024,1.8,865
2024,2.9,1002
2024,2.9,1002
2024,2.7,977
2024,0,0
2024,6.8,1490
2024,6.6,1465
2024,5.5,1327
2024,5,1265
2024,2.6,965
2024,2.6,965
2024,2.6,965
2024,2.6,965
2024,17.3,2802
2024,12.7,3227
2024,12.8,2240
2024,12.3,2177
2024,7.5,1577
2024,5.8,1365
2024,5.8,1365
2024,6.6,1465
2024,8,1640
2024,11.5,2077
2024,17.2,2790
2024,15.6,2590
2024,6.2,1415
2024,5.8,1365
2024,5.6,1340
2024,5.8,1365
2024,6.9,1502
2024,7,1515
2024,6.6,1465
2024,6.5,1452
2024,3.2,1040
2024,8.9,1752
2024,8.4,1690
2024,8.5,1702
2024,11.7,2102
2024,9,1765
2024,11.4,2065
2024,10.9,2002
2024,6.6,1465
2024,5.6,1340
2024,5.6,1340
2024,6.1,1402
2024,2.2,9.6
2024,2.3,927
2024,2.1,1027
2024,3.3,1062
2024,0,0
2024,2.3,927
2024,2.3,927
2024,2.3,927
2024,2.3,927
2024,3,1015
2024,3,1015
2024,3,1015
2024,3,1015
2024,9.9,1877
2024,10.5,1952
2024,11.1,2027
2024,11.6,2090
2024,10,1940
2024,13.2,2352
2024,11.8,2115
2024,12.4,2190
2024,7.2,1540
2024,7.5,1577
2024,7.5,1577
2024,5.4,1693
2024,4.6,1215
2024,4.1,1152
2024,3.8,1115
2024,3.8,1115
2024,3.2,1040
2024,3.3,1052
2024,3,1015
2024,3,1015
2024,18.5,2952
2024,17.5,2827
2024,19.2,2415
2024,15,2515
2024,8,1640
2024,6.4,1440
2024,9.8,1865
2024,10.3,1927
2024,3.4,1065
2024,5.5,1327
2024,6.1,1402
2024,6.6,1465
2024,11.7,3102
2024,6.5,1452
2024,8.6,1715
2024,8.7,1127
2024,5,1265
2024,5.1,1277
2024,5.1,1277
2024,5.7,1352
2024,14.1,2402
2024,9.2,1790
2024,9.2,1790
2024,9.2,1790
2024,7.5,1577
2024,9.6,1840
2024,11.4,2065
2024,8.9,1752
2024,20.4,3190
2024,15.5,2577
2024,13.4,2315
2024,13.2,2290
2024,8.5,1702
2024,8.5,1702
2024,6.6,1465
2024,6.5,1462
2024,9.1,1777
2024,6.6,1465
2024,5.2,1290
2024,5.2,1290
2024,7.2,1540
2024,6.8,1490
2024,6.8,1490
2024,20.5,3202
2024,11.9,2127
2024,17.2,2790
2024,13.9,2377
2024,12.9,2252
2024,7.5,1577
2024,6,1390
2024,5.9,1377
2024,7.7,1602
2024,2.4,940
2024,2.4,940
2024,5.9,1377
2024,4.9,1252
2024,7.1,1527
2024,6.6,1840
2024,7.3,1652
2024,8.4,1590
2024,17.8,2865
2024,16.8,2816
2024,17.4,2902
2024,18.8,2990
2024,14.8,2490
2024,16.1,2652
2024,16.9,2752
2024,16.8,2740
2024,21.3,3302
2024,18.3,2615
2024,11.9,2127
2024,12.8,2240
2024,20.4,3190
2024,17.1,2777
2024,17.9,2877
2024,16.2,2665
2024,33.5,4827
2024,33.6,3590
2024,26.4,3940
2024,24.4,3690
2024,14.9,2502
2024,14.5,2452
2024,14.5,2452
2024,14.6,2465
2024,8.3,1677
2024,7.3,1552
2024,6,1390
2024,6,1390
2024,3.7,1102
2024,3.6,1090
2024,3.8,1115
2024,3.8,1115
2024,5,1265
2024,4.8,1240
2024,8.1,1652
2024,8.7,1727
2024,13.1,2277
2024,14.4,2290
2024,11.9,2127
2024,11.5,2077
2024,30.2,4415
2024,21.3,3302
2024,21.3,3302
2024,20.4,3190
2024,6.1,1402
2024,6.1,1402
2024,6.1,1402
2024,6.1,1402
2024,5.5,1327
2024,5.9,1377
2024,5.6,1340
2024,4.8,1240
2024,5.8,1365
2024,8.5,1702
2024,8.7,1727
2024,8.3,1677
2024,16.5,2715
2024,16.4,2690
2024,15.6,2590
2024,15.7,2602
2024,17.5,2765
2024,16.3,2677
2024,15.7,2602
2024,15.6,2590
2024,7.5,1565
2024,5.5,2165
2024,10.6,1965
2024,9.5,1827
2024,11.7,2102
2024,11,2015
2024,10.7,1977
2024,9.7,1852
2024,0,0
2024,7.8,1615
2024,7.5,1577
2024,7.5,1577
2024,9.1,1777
2024,1.9,582
2024,4.4,1190
2024,4.8,1240
2024,4.1,1152
2024,10,1890
2024,4.3,1177
2024,7.7,1602
2024,7.7,1602
2024,8.3,1677
2024,7.6,1590
2024,6.7,1477
2024,7.3,1552
2024,0,0
2024,12.5,2202
2024,11.2,2102
2024,11,2015
2024,10,1990
2024,2.5,1452
2024,5.2,1290
2024,6.3,1427
2024,5.9,1377
2024,2.6,965
2024,2.6,965
2024,2.6,965
2024,5.1,1277
2024,2.4,940
2024,2,890
2024,5.1,1277
2024,4.2,1252
2024,11.9,2090
2024,11.1,2027
2024,10.7,1977
2024,10.2,1916
2024,7,1515
2024,7.5,1577
2024,7.7,1602
2024,7.8,1615
2024,3.8,1115
2024,4.4,1190
2024,4.2,1165
2024,4.6,1215
2024,8.2,1665
2024,8.2,1665
2024,6.7,1477
2024,6,1390
2024,9.5,1765
2024,8.8,1740
2024,8.6,1715
2024,8.4,1690
2024,5.6,1340
2024,7,1515
2024,6.8,1490
2024,6.4,1440
2024,10.5,1952
2024,8.1,1652
2024,8.1,1652
2024,7.8,1615
2024,11.5,2104
2024,11.5,2104
2024,13.8,2365
2024,14.9,2502
2024,11.9,2127
2024,18.5,2952
2024,17.7,2777
2024,18.4,2940
2024,4.6,1215
2024,3.2,1040
2024,3.6,1090
2024,4,1140
2024,11.7,2102
2024,12.9,2252
2024,13,2265
2024,14.1,2402
2024,11.4,2040
2024,10,1890
2024,10.6,1965
2024,10.1,1902
2024,23,3515
2024,28.2,4252
2024,29.2,4352
2024,29,4265
2024,6.2,1415
2024,6.2,1415
2024,6.2,1415
2024,6,1390
2024,6.8,1490
2024,6.6,1465
2024,4.9,1252
2024,5.3,1302
2024,7.5,1565
2024,7.4,1565
2024,8.9,1752
2024,9.8,1865
2024,17.2,2765
2024,16.6,2715
2024,16.7,2727
2024,16,2640
2024,10,1390
2024,9.3,1802
2024,10.9,2002
2024,10.7,1977
2024,16,2640
2024,15.2,2540
2024,13.4,2815
2024,17.2,2790
2024,9.5,18.5
2024,13.8,2365
2024,14.5,2452
2024,17.8,2865
2024,13.3,2315
2024,13.9,2377
2024,17.1,2777
2024,17.3,2802
2024,7.7,1602
2024,7.6,1590
2024,7.8,1615
2024,7.8,1615
2024,4.5,1202
2024,4.2,1165
2024,4.6,1215
2024,4.9,1252
2024,2.9,1002
2024,2.7,977
2024,2.7,977
2024,2.7,977
2024,6.5,1452
2024,6.4,1440
2024,7.5,1577
2024,7.9,1627
2024,8.2,1652
2024,7.7,1602
2024,7.3,1552
2024,6,1490
2024,5.7,1352
2024,6.8,1490
2024,7.4,1565
2024,7.7,1602
2024,1.8,865
2024,1.8,865
2024,1.8,865
2024,1.8,865
2024,8.1,1652
2024,9.6,1840
2024,10,1890
2024,11.4,2065
2024,7,1515
2024,9.9,1877
2024,10.9,2002
2024,11.4,2965
2024,6.3,1427
2024,7.4,1565
2024,8,1640
2024,8.8,1740
2024,1.5,827
2024,1.5,827
2024,6,1390
2024,6,1390
2024,11,2015
2024,11.4,2040
2024,10.9,2002
2024,11,2015
2024,11.6,2090
2024,11.6,2090
2024,17.8,2865
2024,20,3152
2024,14,2490
2024,14.6,2465
2024,10.5,1952
2024,12,2140
2024,10.3,1927
2024,9.7,1852
2024,9.1,1777
2024,8.4,1690
2024,3.9,1127
2024,4.2,1165
2024,9.5,1827
2024,7.8,1615
2024,22,3390
2024,17,2765
2024,14.3,2427
2024,13.6,2340
2024,6.6,1465
2024,5.8,1365
2024,6.2,1415
2024,6.2,1415
2024,3.2,1040
2024,3.2,1040
2024,3.2,1040
2024,3.2,1040
2024,2.5,952
2024,3.9,1127
2024,3.6,1090
2024,3.9,1052
2024,10.3,1927
2024,10.1,1902
2024,9.5,1827
2024,9,1765
2024,10.2,1915
2024,12.4,2190
2024,19.2,2415
2024,18.7,2352
2024,11.2,2040
2024,10.4,1940
2024,10.7,1977
2024,9.9,1877
2024,8.6,1702
2024,9.2,1790
2024,10.2,1915
2024,10.5,1952
2024,2.5,952
2024,4.1,1152
2024,4.6,1215
2024,4.8,1240
2024,6.7,1477
2024,10.6,1965
2024,9.9,1877
2024,9.1,1777
2024,3.2,1040
2024,9.7,1852
2024,9,1765
2024,7.6,1590
2024,8.9,1752
2024,12.6,2215
2024,12.7,2227
2024,11.1,2027
2024,13.5,2327
2024,12,2140
2024,11.1,2027
2024,10.7,1977
2024,2.1,902
2024,5.6,1340
2024,5.7,1352
2024,0,0
2024,6.2,1415
2024,4.9,1252
2024,5.1,1277
2024,8.3,1577
2024,6.8,1490
2024,5.7,1362
2024,3.9,1127
2024,3.8,1115
2024,11.9,2127
2024,14.2,2415
2024,12.1,2152
2024,12,2140
2024,10.9,1915
2024,6,1390
2024,12.4,2190
2024,11.5,2077
2024,7.3,1552
2024,17.7,2852
2024,18,2819
2024,16.5,2702
2024,8.3,1677
2024,8.7,1727
2024,8.1,1652
2024,8.1,1652
2024,4.1,1152
2024,3.4,1065
2024,3.4,1065
2024,5.1,1277
2024,5.6,1340
2024,4.6,1215
2024,0,0
2024,7.3,1552
2024,0,0
2024,4.7,1227
2024,4.6,1215
2024,4.4,1190
2024,4.7,1227
2024,11.3,2052
2024,11.1,2027
2024,10.9,2002
2024,10.7,1977
2024,11.3,2502
2024,12.9,2252
2024,12.5,2202
2024,12.7,2227
2024,10.9,2002
2024,10.7,1977
2024,11.3,2052
2024,12.7,2227
2024,12.3,2177
2024,11.9,2127
2024,11.4,2065
2024,11.2,2040
2024,10.8,1990
2024,10.6,1965
2024,4.6,1216
2024,4.7,1227
2024,4.2,1165
2024,4,1140
2024,5.8,1365
2024,5.5,1327
2024,2.5,952
2024,3.5,1077
2024,0,0
2024,0,0
2024,7.6,1590
2024,8.3,1677
2024,7.6,1590
2024,9.2,1790
2024,8.7,1127
2024,4,2140
2024,15.1,2527
2024,15.3,2552
2024,6.3,1427
2024,6.1,1402
2024,5.7,1352
2024,6.7,1477
2024,10.2,1915
2024,11.2,2040
2024,10.7,1977
2024,12.6,2215
2024,5.3,1302
2024,6.1,1402
2024,9.3,1802
2024,10.8,1990
2024,23.3,3565
2024,19,3015
2024,16.7,2727
2024,19.9,3127
2024,17,2765
2024,15.1,2527
2024,13.7,2352
2024,17.9,2252
2024,12,2140
2024,11.4,2065
2024,10.9,2002
2024,10.3,1927
2024,3.3,1052
2024,9.5,1827
2024,10,1890
2024,15.9,2697
2024,4.4,1190
2024,3.6,1052
2024,3.3,1052
2024,5.2,1290
2024,11.4,2265
2024,9,1765
2024,8.5,1702
2024,8.5,1290
2024,6.7,1477
2024,8.5,1702
2024,9.4,1815
2024,7,1765
2024,3,1015
2024,4.2,1165
2024,4.2,1165
2024,4.6,1215
2024,2,890
2024,2,890
2024,2,890
2024,2,890
2024,9.7,1852
2024,8.9,1752
2024,8.4,1690
2024,7.8,1615
2024,11.5,2077
2024,11.9,2127
2024,11.5,2077
2024,11.2,2040
2024,24.4,3690
2024,15,2515
2024,12,2140
2024,14.6,2465
2024,5.8,1365
2024,3.7,1102
2024,5.6,1340
2024,5.5,1327
2024,3,1015
2024,4.4,1190
2024,9.6,1840
2024,10.4,1940
2024,12,2140
2024,12.1,2152
2024,12.7,2227
2024,10.5,1952
2024,0,0
2024,1.7,852
2024,1.8,865
2024,5.2,1290
2024,6.5,1452
2024,4.3,1177
2024,7.1,1527
2024,8.3,1677
2024,5.3,1802
2024,4.6,1215
2024,4.1,1152
2024,4.5,1202
2024,4.5,1202
2024,4.5,1202
2024,9.9,1877
2024,12.9,2252
2024,11.7,2102
2024,10.8,1990
2024,8.4,1690
2024,9.9,1877
2024,18.2,2915
2024,22.3,3427
2024,17.6,2840
2024,17.5,2827
2024,4.3,1177
2024,4.5,1202
2024,6.8,1490
2024,6.2,1450
2024,8.5,1702
2024,8.3,1677
2024,7.4,1565
2024,7.9,1627
2024,5.4,1315
2024,6.1,1402
2024,6.7,1477
2024,6.6,1465
2024,7,1515
2024,7.6,1590
2024,5.7,1352
2024,5.6,1340
2024,2.7,977
2024,2.6,965
2024,2.6,965
2024,2.6,965
2024,8.3,1677
2024,8.1,1652
2024,8,1640
2024,7.7,1602
2024,13.3,2302
2024,15.4,2565
2024,13.9,2377
2024,13.6,2340
2024,5.2,2165
2024,14.8,2415
2024,14.6,2465
2024,14.4,2440
2024,3,1015
2024,3.6,1090
2024,3.8,1115
2024,5.6,1340
2024,8.1,1652
2024,6.5,1452
2024,6.3,1427
2024,6.1,1402
2024,6.5,1402
2024,6.6,1465
2024,9.4,1815
2024,10.3,1927
2024,10.4,1940
2024,7.4,1565
2024,7.6,1590
2024,6.8,1490
2024,9.8,1856
2024,11.7,2102
2024,11.3,2532
2024,12.3,2177
2024,13.2,2290
2024,5.6,1340
2024,2.8,1240
2024,5,1265
2024,20.3,3177
2024,16,2640
2024,16.9,2752
2024,14.9,2502
2024,7.1,1527
2024,6.9,1502
2024,7.1,1527
2024,7.2,1540
2024,6.6,1460
2024,3.5,1077
2024,6.3,1452
2024,12.9,2252
2024,8.1,1652
2024,7.5,1577
2024,6.8,1490
2024,6.3,1427
2024,3.1,1027
2024,2.4,940
2024,0,0
2024,0,0
2024,6.1,1402
2024,5.3,1302
2024,7.3,1552
2024,10.2,1915
2024,13.5,2327
2024,15.7,2602
2024,18.8,2990
2024,19,3015
